Entity,Code,Year,Cumulative CO₂ emissions
Austria,AUT,1807,168544.0
Austria,AUT,1850,30649360.0
Austria,AUT,1900,559309600.0
Austria,AUT,1950,1678116900.0
Austria,AUT,2000,4098527700.0
Austria,AUT,2022,5635137000.0
Burkina Faso,BFA,1950,4053.0
Burkina Faso,BFA,2000,16769275.0
Burkina Faso,BFA,2022,80824056.0
Cuba,CUB,1950,6765259.0
Cuba,CUB,2000,1085645200.0
Cuba,CUB,2022,1663968400.0
Dominican Republic,DOM,1950,402298.0
Dominican Republic,DOM,2000,312449760.0
Dominican Republic,DOM,2022,791784700.0
Namibia,NAM,2000,15363152.0
Namibia,NAM,2022,82372170.0
Turkmenistan,TKM,1850,1564.0
Turkmenistan,TKM,1900,6533255.0
Turkmenistan,TKM,1950,90686510.0
Turkmenistan,TKM,2000,1255217900.0
Turkmenistan,TKM,2022,2517083000.0
Turks and Caicos Islands,TCA,2000,846384.0
Turks and Caicos Islands,TCA,2022,6839739.0
Vanuatu,VUT,2000,2458544.0
Vanuatu,VUT,2022,5232685.0
