Entity,Code,Year,"Deaths that are from all causes attributed to smoking, in both sexes aged all ages"
Fiji,FJI,1990,738.02203
Fiji,FJI,1995,758.01697
Fiji,FJI,2000,816.8238
Fiji,FJI,2005,798.4327
Fiji,FJI,2010,846.0367
Fiji,FJI,2015,892.6355
Fiji,FJI,2019,923.9281
India,IND,1990,637869.5
India,IND,1995,684774.56
India,IND,2000,752781.75
India,IND,2005,750211.4
India,IND,2010,839321.5
India,IND,2015,950678.2
India,IND,2019,1013282.44
North Macedonia,MKD,1990,3634.767
North Macedonia,MKD,1995,4393.172
North Macedonia,MKD,2000,4780.1113
North Macedonia,MKD,2005,5086.8696
North Macedonia,MKD,2010,5153.0195
North Macedonia,MKD,2015,5171.149
North Macedonia,MKD,2019,5306.518
Sao Tome and Principe,STP,1990,22.856718
Sao Tome and Principe,STP,1995,25.256641
Sao Tome and Principe,STP,2000,29.072096
Sao Tome and Principe,STP,2005,32.01653
Sao Tome and Principe,STP,2010,35.713867
Sao Tome and Principe,STP,2015,40.806564
Sao Tome and Principe,STP,2019,43.60306
Senegal,SEN,1990,2280.6648
Senegal,SEN,1995,2393.6765
Senegal,SEN,2000,2371.3643
Senegal,SEN,2005,2876.6982
Senegal,SEN,2010,2814.215
Senegal,SEN,2015,3047.1252
Senegal,SEN,2019,3108.1174
