Entity,Code,Year,Palm Oil | 00002577 || Imports | 005611 || tonnes
Brazil,BRA,1961,1000
Brazil,BRA,1970,0
Brazil,BRA,1980,5000
Brazil,BRA,1990,2000
Brazil,BRA,2000,37000
Brazil,BRA,2010,156000
Brazil,BRA,2020,244000
China,CHN,1961,0
China,CHN,1970,0
China,CHN,1980,58000
China,CHN,1990,1134000
China,CHN,2000,1531000
China,CHN,2010,5696000
China,CHN,2020,6461000
France,FRA,1961,56000
France,FRA,1970,100000
France,FRA,1980,181000
France,FRA,1990,206000
France,FRA,2000,306000
France,FRA,2010,328000
France,FRA,2020,422000
Germany,DEU,1961,95000
Germany,DEU,1970,218000
Germany,DEU,1980,338000
Germany,DEU,1990,711000
Germany,DEU,2000,967000
Germany,DEU,2010,1434000
Germany,DEU,2020,724000
India,IND,1961,34000
India,IND,1970,0
India,IND,1980,722000
India,IND,1990,499000
India,IND,2000,3369000
India,IND,2010,3985000
India,IND,2020,7203000
United Kingdom,GBR,1961,174000
United Kingdom,GBR,1970,190000
United Kingdom,GBR,1980,275000
United Kingdom,GBR,1990,468000
United Kingdom,GBR,2000,752000
United Kingdom,GBR,2010,417000
United Kingdom,GBR,2020,424000
United States,USA,1961,25000
United States,USA,1970,64000
United States,USA,1980,117000
United States,USA,1990,193000
United States,USA,2000,170000
United States,USA,2010,948000
United States,USA,2020,1432000
