Entity,Code,Year,Happiness: Happy (aggregate)
Bosnia and Herzegovina,BIH,2010,85.70629
Bosnia and Herzegovina,BIH,2022,87.04503
Cyprus,CYP,2010,86.12249
Cyprus,CYP,2022,81.93637
Estonia,EST,1993,56.74603
Estonia,EST,2010,78.81875
Estonia,EST,2022,84.37757
France,FRA,1993,91.41716
France,FRA,2010,91.03752
France,FRA,2022,90.87823
Ireland,IRL,1993,91.6
Ireland,IRL,2010,94.89127
Lithuania,LTU,1993,47.7
Lithuania,LTU,2010,65.66721
Lithuania,LTU,2022,73.6502
Puerto Rico,PRI,2022,90.50577
Serbia,SRB,2010,68.5629
Serbia,SRB,2022,79.77212
South Africa,ZAF,1993,66.35867
South Africa,ZAF,2010,77.83786
