Entity,Code,Year,Deaths - Road injuries - Sex: Both - Age: Age-standardized (Rate)
Bahrain,BHR,1990,28.19
Bahrain,BHR,1995,28.27
Bahrain,BHR,2000,27.03
Bahrain,BHR,2005,22.15
Bahrain,BHR,2010,16.58
Bahrain,BHR,2015,15.02
Bahrain,BHR,2019,14.04
Honduras,HND,1990,20.35
Honduras,HND,1995,19.15
Honduras,HND,2000,19.28
Honduras,HND,2005,18.78
Honduras,HND,2010,16.96
Honduras,HND,2015,15.72
Honduras,HND,2019,15.16
Mongolia,MNG,1990,14.5
Mongolia,MNG,1995,18.02
Mongolia,MNG,2000,18.54
Mongolia,MNG,2005,23.37
Mongolia,MNG,2010,22.33
Mongolia,MNG,2015,19.84
Mongolia,MNG,2019,19.31
