Entity,Code,Year,electfreefair_vdem_owid,electfreefair_vdem_high_owid,electfreefair_vdem_low_owid
Argentina,ARG,1789,0.0,0.0,0.0
Argentina,ARG,1850,0.0,0.0,0.0
Argentina,ARG,1900,0.331,0.488,0.21
Argentina,ARG,1950,0.697,0.796,0.574
Argentina,ARG,2000,0.87,0.929,0.787
Argentina,ARG,2022,0.895,0.944,0.822
Australia,AUS,1789,0.0,0.0,0.0
Australia,AUS,1850,0.768,0.857,0.631
Australia,AUS,1900,0.879,0.939,0.789
Australia,AUS,1950,0.935,0.971,0.877
Australia,AUS,2000,0.956,0.979,0.909
Australia,AUS,2022,0.946,0.976,0.898
Botswana,BWA,1900,0.0,0.0,0.0
Botswana,BWA,1950,0.0,0.0,0.0
Botswana,BWA,2000,0.855,0.918,0.759
Botswana,BWA,2022,0.582,0.702,0.448
China,CHN,1789,0.0,0.0,0.0
China,CHN,1850,0.0,0.0,0.0
China,CHN,1900,0.0,0.0,0.0
China,CHN,1950,0.0,0.0,0.0
China,CHN,2000,0.0,0.0,0.0
China,CHN,2022,0.0,0.0,0.0
