Entity,Code,Year,Wind per capita (kWh - equivalent)
Canada,CAN,1990,0.20519164
Canada,CAN,2000,25.44201
Canada,CAN,2010,712.9637
Canada,CAN,2022,2544.18
Croatia,HRV,1990,0.0
Croatia,HRV,2000,0.0
Croatia,HRV,2010,88.37521
Croatia,HRV,2022,1487.1688
Oman,OMN,1980,0.0
Oman,OMN,1990,0.0
Oman,OMN,2000,0.0
Oman,OMN,2010,0.0
Oman,OMN,2022,67.73776
Poland,POL,1965,0.0
Poland,POL,1970,0.0
Poland,POL,1980,0.0
Poland,POL,1990,0.0
Poland,POL,2000,0.3839803
Poland,POL,2010,119.660095
Poland,POL,2022,1271.7397
Romania,ROU,1980,0.0
Romania,ROU,1990,0.13079482
Romania,ROU,2000,0.0
Romania,ROU,2010,41.76633
Romania,ROU,2022,929.1081
Ukraine,UKR,1990,0.0
Ukraine,UKR,2000,0.36297122
Ukraine,UKR,2010,3.0378654
Ukraine,UKR,2022,96.12365
Uzbekistan,UZB,1990,0.0
Uzbekistan,UZB,2000,0.0
Uzbekistan,UZB,2010,0.0
Uzbekistan,UZB,2022,0.09034849
