Entity,Code,Year,Solar - % electricity
Chile,CHL,1990,0.0
Chile,CHL,1995,0.0
Chile,CHL,2000,0.0
Chile,CHL,2005,0.0
Chile,CHL,2010,0.0
Chile,CHL,2015,1.9094076
Chile,CHL,2020,9.826366
Chile,CHL,2022,17.44773
French Guiana,GUF,2000,0.0
French Guiana,GUF,2005,0.0
French Guiana,GUF,2010,0.0
Israel,ISR,1990,0.0
Israel,ISR,1995,0.0
Israel,ISR,2000,0.0
Israel,ISR,2005,0.0
Israel,ISR,2010,0.11953551
Israel,ISR,2015,1.7437334
Israel,ISR,2020,4.929479
Israel,ISR,2022,9.275628
Non-OECD (EI),,1985,0.0
Non-OECD (EI),,1990,5.065651e-05
Non-OECD (EI),,1995,0.00017256445
Non-OECD (EI),,2000,0.00079857034
Non-OECD (EI),,2005,0.00211406
Non-OECD (EI),,2010,0.012729617
Non-OECD (EI),,2015,0.45848444
Non-OECD (EI),,2020,2.5184898
Non-OECD (EI),,2022,3.730479
Saint Vincent and the Grenadines,VCT,2000,0.0
Saint Vincent and the Grenadines,VCT,2005,0.0
Saint Vincent and the Grenadines,VCT,2010,0.0
Saint Vincent and the Grenadines,VCT,2015,0.0
Saint Vincent and the Grenadines,VCT,2020,0.0
Turkey,TUR,1985,0.0
Turkey,TUR,1990,0.0
Turkey,TUR,1995,0.0
Turkey,TUR,2000,0.0
Turkey,TUR,2005,0.0
Turkey,TUR,2010,0.0
Turkey,TUR,2015,0.07271614
Turkey,TUR,2020,3.5852268
Turkey,TUR,2022,4.857257
