Entity,Code,Year,"GDP per capita, PPP (constant 2017 international $)"
China,CHN,1990,1423.8964
China,CHN,1995,2391.477
China,CHN,2000,3451.6792
China,CHN,2005,5334.6465
China,CHN,2010,8884.588
China,CHN,2015,12612.352
China,CHN,2021,17602.695
France,FRA,1990,33843.02
France,FRA,1995,35176.62
France,FRA,2000,39726.49
France,FRA,2005,41638.03
France,FRA,2010,42145.684
France,FRA,2015,43345.785
France,FRA,2021,44993.125
Germany,DEU,1990,36699.48
Germany,DEU,1995,39366.09
Germany,DEU,2000,42928.18
Germany,DEU,2005,43949.29
Germany,DEU,2010,46999.24
Germany,DEU,2015,51159.297
Germany,DEU,2021,53179.656
India,IND,1990,1819.0216
India,IND,1995,2103.727
India,IND,2000,2571.1497
India,IND,2005,3225.5444
India,IND,2010,4213.363
India,IND,2015,5411.8755
India,IND,2021,6592.042
Japan,JPN,1990,32846.39
Japan,JPN,1995,34867.582
Japan,JPN,2000,36323.094
Japan,JPN,2005,38250.637
Japan,JPN,2010,38069.957
Japan,JPN,2015,40402.582
Japan,JPN,2021,40784.383
South Korea,KOR,1990,12656.396
South Korea,KOR,1995,18120.494
South Korea,KOR,2000,22963.639
South Korea,KOR,2005,28640.707
South Korea,KOR,2010,34394.492
South Korea,KOR,2015,38828.742
South Korea,KOR,2021,44232.207
United Kingdom,GBR,1990,31537.848
United Kingdom,GBR,1995,33718.508
United Kingdom,GBR,2000,39080.867
United Kingdom,GBR,2005,42926.992
United Kingdom,GBR,2010,42270.434
United Kingdom,GBR,2015,44948.336
United Kingdom,GBR,2021,44978.715
United States,USA,1990,40456.242
United States,USA,1995,43047.26
United States,USA,2000,50175.74
United States,USA,2005,54338.027
United States,USA,2010,54516.855
United States,USA,2015,58427.55
United States,USA,2021,63669.71
