Entity,Code,Year,Access to electricity (% of population),Primary energy consumption per capita (kWh/person),Population (historical estimates),Continent
Afghanistan,AFG,2020,97.7,702.888,38972236.0,
Africa,,2020,,3870.848,1360677453.0,
Angola,AGO,2020,46.89061,3527.16,33428490.0,
Asia,,2020,,17964.684,4663086623.0,
Bangladesh,BGD,2020,96.2,2730.078,167420944.0,
Botswana,BWA,2020,71.99476,8843.107,2546404.0,
Cameroon,CMR,2020,64.72137,1758.1206,26491090.0,
Chad,TCD,2020,11.080117,372.5109,16644707.0,
China,CHN,2020,100.0,29133.936,1424929792.0,
Congo,COG,2020,49.5171,2379.556,5702183.0,
Democratic Republic of Congo,COD,2020,19.1,443.81158,92853168.0,
East Timor,TLS,2020,96.123314,1589.7897,1299998.0,
Egypt,EGY,2020,100.0,9153.989,107465128.0,
Equatorial Guinea,GNQ,2020,66.74773,11328.123,1596057.0,
Eswatini,SWZ,2020,79.7305,5614.8906,1180663.0,
Ethiopia,ETH,2020,51.093983,860.0999,117190920.0,
Europe,,2020,,38222.113,747462669.0,
Gabon,GAB,2020,91.57156,8367.068,2292583.0,
Gambia,GMB,2020,62.273067,905.3456,2574005.0,
Ghana,GHA,2020,85.87355,3484.1567,32180402.0,
Guyana,GUY,2020,92.54054,13816.492,797207.0,
Haiti,HTI,2020,46.925533,977.08136,11306804.0,
High-income countries,,2020,99.98835,53855.242,1218093003.0,
Honduras,HND,2020,93.20671,5048.4497,10121762.0,
India,IND,2020,99.0,6317.096,1396387072.0,
Kenya,KEN,2020,71.43794,1902.1184,51985780.0,
Kiribati,KIR,2020,91.96303,2417.654,126473.0,
Liberia,LBR,2020,27.53471,1030.0463,5087591.0,
Libya,LBY,2020,69.70735,28032.594,6653946.0,
Low-income countries,,2020,43.205055,1230.7802,680258922.0,
Madagascar,MDG,2020,33.735077,447.50406,28225182.0,
Malawi,MWI,2020,14.866769,503.25735,19377058.0,
Mozambique,MOZ,2020,30.603832,2248.653,31178242.0,
Myanmar,MMR,2020,70.397194,3183.1047,53423200.0,
Namibia,NAM,2020,56.258694,8960.352,2489099.0,
Nepal,NPL,2020,89.9,1677.7975,29348626.0,
Nigeria,NGA,2020,55.4,2445.0652,208327408.0,
North America,,2020,,52254.91,594263186.0,
North Korea,PRK,2020,52.313545,3859.2563,25867474.0,
Oceania,,2020,,41583.086,43933757.0,
Pakistan,PAK,2020,75.37969,4301.192,227196736.0,
Rwanda,RWA,2020,46.6,496.8982,13146367.0,
Sierra Leone,SLE,2020,26.200886,480.5271,8233973.0,
Somalia,SOM,2020,49.73087,212.09578,16537018.0,
South Africa,ZAF,2020,84.38554,23568.951,58801928.0,
South America,,2020,,15056.17,431530105.0,
South Sudan,SSD,2020,7.2413383,703.1351,10606224.0,
Syria,SYR,2020,89.14032,5564.748,20772602.0,
Tanzania,TZA,2020,39.9,913.5875,61704520.0,
Vietnam,VNM,2020,100.0,12467.438,96648680.0,
World,OWID_WRL,2020,90.43558,20068.709,7840952832.0,
Yemen,YEM,2020,73.75793,1092.0021,32284044.0,
