Entity,Code,Year,pol_part_eiu
Argentina,ARG,2006,5.56
Argentina,ARG,2008,5.56
Argentina,ARG,2010,5.56
Argentina,ARG,2012,5.56
Argentina,ARG,2014,5.56
Argentina,ARG,2016,6.11
Argentina,ARG,2018,6.11
Argentina,ARG,2020,6.67
Argentina,ARG,2022,7.78
Australia,AUS,2006,7.779999999999999
Australia,AUS,2008,7.779999999999999
Australia,AUS,2010,7.779999999999999
Australia,AUS,2012,7.779999999999999
Australia,AUS,2014,7.779999999999999
Australia,AUS,2016,7.779999999999999
Australia,AUS,2018,7.779999999999999
Australia,AUS,2020,7.779999999999999
Australia,AUS,2022,7.78
Botswana,BWA,2006,5.0
Botswana,BWA,2008,5.0
Botswana,BWA,2010,5.56
Botswana,BWA,2012,6.67
Botswana,BWA,2014,6.11
Botswana,BWA,2016,6.11
Botswana,BWA,2018,6.11
Botswana,BWA,2020,6.11
Botswana,BWA,2022,6.67
China,CHN,2006,2.78
China,CHN,2008,2.78
China,CHN,2010,3.89
China,CHN,2012,3.89
China,CHN,2014,3.89
China,CHN,2016,3.33
China,CHN,2018,3.89
China,CHN,2020,2.78
China,CHN,2022,2.78
