Entity,Code,Year,Change in global mean surface temperature caused by nitrous oxide emissions,Change in global mean surface temperature caused by methane emissions,Change in global mean surface temperature caused by CO₂ emissions
World,OWID_WRL,1851,6.7629015e-05,0.00044850307,0.0012188175
World,OWID_WRL,1860,0.0007203795,0.0045233713,0.013070764
World,OWID_WRL,1880,0.002451053,0.01504882,0.04230818
World,OWID_WRL,1900,0.004986181,0.030962609,0.08571142
World,OWID_WRL,1920,0.0082509285,0.053329673,0.14981145
World,OWID_WRL,1940,0.012494315,0.07936955,0.22604197
World,OWID_WRL,1960,0.021307025,0.13474387,0.3348508
World,OWID_WRL,1980,0.03728857,0.24243198,0.51061606
World,OWID_WRL,2000,0.057675,0.3205483,0.75664103
World,OWID_WRL,2021,0.08317285,0.41484845,1.1125787
