Entity,Code,Year,Renewables (% equivalent primary energy)
Bangladesh,BGD,1980,4.96088
Bangladesh,BGD,1990,3.5392714
Bangladesh,BGD,2000,1.6270729
Bangladesh,BGD,2010,0.8643462
Bangladesh,BGD,2022,0.7543987
Croatia,HRV,1990,11.523735
Croatia,HRV,2000,19.766321
Croatia,HRV,2010,23.851255
Croatia,HRV,2022,26.92303
Lower-middle-income countries,,1965,8.109364
Lower-middle-income countries,,1970,9.870191
Lower-middle-income countries,,1980,9.718477
Lower-middle-income countries,,1990,4.9272666
Lower-middle-income countries,,2000,5.1949067
Lower-middle-income countries,,2010,5.4389753
Lower-middle-income countries,,2022,8.931942
