Entity,Code,Year,Median age - Sex: all - Age: all - Variant: estimates,Fertility rate - Sex: all - Age: all - Variant: estimates,Population - Sex: all - Age: all - Variant: estimates,Continent
Algeria,DZA,2021,27.8,2.8886,44177964.0,
Anguilla,AIA,2021,36.7,1.273,15779.0,
Austria,AUT,2021,42.8,1.4701,8922086.0,
Bangladesh,BGD,2021,26.3,1.981,169356240.0,
Bhutan,BTN,2021,28.2,1.4132,777500.0,
Brazil,BRA,2021,32.8,1.6406,214326220.0,
Chad,TCD,2021,15.0,6.2549,17179744.0,
China,CHN,2021,37.9,1.164,1425893500.0,
Ethiopia,ETH,2021,18.5,4.1591,120283020.0,
Faroe Islands,FRO,2021,37.9,2.7751,52915.0,
Fiji,FJI,2021,26.8,2.4748,924615.0,
France,FRA,2021,41.6,1.79,64531450.0,
French Guiana,GUF,2021,23.7,3.5081,297462.0,
Germany,DEU,2021,44.9,1.53,83408560.0,
India,IND,2021,27.6,2.0308,1407563900.0,
Jamaica,JAM,2021,30.8,1.352,2827701.0,
Japan,JPN,2021,48.4,1.2974,124612530.0,
Laos,LAO,2021,23.8,2.4961,7425055.0,
Lesotho,LSO,2021,22.1,3.0176,2281464.0,
Malawi,MWI,2021,16.8,3.9165,19889742.0,
Mali,MLI,2021,15.1,5.9564,21904990.0,
Martinique,MTQ,2021,46.3,1.9146,368799.0,
Monaco,MCO,2021,54.5,2.1109,36713.0,
Nepal,NPL,2021,23.7,2.0293,30034988.0,
Niger,NER,2021,14.5,6.82,25252722.0,
Nigeria,NGA,2021,17.0,5.2374,213401330.0,
North Korea,PRK,2021,35.6,1.809,25971910.0,
Oman,OMN,2021,28.8,2.6233,4520474.0,
Pakistan,PAK,2021,20.2,3.4698,231402110.0,
Palau,PLW,2021,35.7,2.409,18050.0,
Philippines,PHL,2021,24.5,2.7476,113880340.0,
Saint Helena,SHN,2021,50.9,1.6497,5428.0,
South Korea,KOR,2021,43.4,0.8799,51830136.0,
Syria,SYR,2021,20.9,2.7468,21324366.0,
Tanzania,TZA,2021,16.8,4.7259,63588332.0,
United States,USA,2021,37.7,1.6619,336997630.0,
United States Virgin Islands,VIR,2021,42.7,2.1282,100100.0,
Vatican,VAT,2021,57.7,1.0077,,
Vietnam,VNM,2021,32.0,1.9437,97468024.0,
Western Sahara,ESH,2021,30.9,2.3114,565590.0,
Zimbabwe,ZWE,2021,18.1,3.4908,15993525.0,
