Entity,Code,Year,Hydro (% equivalent primary energy)
Australia,AUS,1965,5.340691
Australia,AUS,1970,5.2753077
Australia,AUS,1980,4.7166986
Australia,AUS,1990,4.224702
Australia,AUS,2000,3.730389
Australia,AUS,2010,2.5286407
Australia,AUS,2022,2.687364
Azerbaijan,AZE,1990,1.8816601
Azerbaijan,AZE,2000,3.4349427
Azerbaijan,AZE,2010,7.4184694
Azerbaijan,AZE,2022,2.1411028
Croatia,HRV,1990,11.488907
Croatia,HRV,2000,19.763016
Croatia,HRV,2010,23.396923
Croatia,HRV,2022,14.941551
Pakistan,PAK,1965,7.8989325
Pakistan,PAK,1970,8.390381
Pakistan,PAK,1980,16.982367
Pakistan,PAK,1990,16.537376
Pakistan,PAK,2000,10.732646
Pakistan,PAK,2010,11.169597
Pakistan,PAK,2022,9.130998
World,OWID_WRL,1965,6.3034415
World,OWID_WRL,1970,6.0953474
World,OWID_WRL,1980,6.5691776
World,OWID_WRL,1990,6.6772065
World,OWID_WRL,2000,7.0918746
World,OWID_WRL,2010,6.736645
World,OWID_WRL,2022,6.7345924
