Entity,Code,Year,Deaths - Stroke - Sex: Both - Age: All Ages (Rate)
Bulgaria,BGR,1990,303.96
Bulgaria,BGR,1995,363.44
Bulgaria,BGR,2000,376.52
Bulgaria,BGR,2005,383.14
Bulgaria,BGR,2010,383.47
Bulgaria,BGR,2015,393.45
Bulgaria,BGR,2019,413.3
Russia,RUS,1990,224.06
Russia,RUS,1995,298.18
Russia,RUS,2000,318.41
Russia,RUS,2005,318.03
Russia,RUS,2010,257.04
Russia,RUS,2015,226.15
Russia,RUS,2019,223.48
United Kingdom,GBR,1990,127.32
United Kingdom,GBR,1995,117.09
United Kingdom,GBR,2000,106.13
United Kingdom,GBR,2005,91.96
United Kingdom,GBR,2010,77.21
United Kingdom,GBR,2015,72.92
United Kingdom,GBR,2019,75.32
United States,USA,1990,60.62
United States,USA,1995,62.22
United States,USA,2000,63.3
United States,USA,2005,56.94
United States,USA,2010,51.46
United States,USA,2015,54.22
United States,USA,2019,57.76
