Entity,Code,Year,Rye | 00000071 || Production | 005510 || tonnes
Brazil,BRA,1961,17204.0
Brazil,BRA,1970,18972.0
Brazil,BRA,1980,10498.0
Brazil,BRA,1990,4535.0
Brazil,BRA,2000,6948.0
Brazil,BRA,2010,3165.0
Brazil,BRA,2021,10567.0
China,CHN,1961,1300000.0
China,CHN,1970,1350000.0
China,CHN,1980,1400000.0
China,CHN,1990,1200000.0
China,CHN,2000,975000.0
China,CHN,2010,570000.0
China,CHN,2021,512248.28
Russia,RUS,2000,5444421.0
Russia,RUS,2010,1635631.0
Russia,RUS,2021,1721912.0
United States,USA,1961,694000.0
United States,USA,1970,935773.0
United States,USA,1980,405350.0
United States,USA,1990,258500.0
United States,USA,2000,213010.0
United States,USA,2010,190000.0
United States,USA,2021,249130.0
