Entity,Code,Year,Deaths in ongoing conflicts in a country (best estimate) - Conflict type: one-sided violence,Deaths in ongoing conflicts in a country (best estimate) - Conflict type: non-state conflict,Deaths in ongoing conflicts in a country (best estimate) - Conflict type: intrastate,Deaths in ongoing conflicts in a country (best estimate) - Conflict type: interstate
Czechoslovakia,OWID_CZS,1989,0,0,0,0
Czechoslovakia,OWID_CZS,1992,0,0,0,0
Czechoslovakia,OWID_CZS,1995,0,0,0,0
Czechoslovakia,OWID_CZS,1998,0,0,0,0
Czechoslovakia,OWID_CZS,2001,0,0,0,0
Czechoslovakia,OWID_CZS,2004,0,0,0,0
Czechoslovakia,OWID_CZS,2007,0,0,0,0
Czechoslovakia,OWID_CZS,2010,0,0,0,0
Czechoslovakia,OWID_CZS,2013,0,0,0,0
Czechoslovakia,OWID_CZS,2016,0,0,0,0
Czechoslovakia,OWID_CZS,2019,0,0,0,0
Czechoslovakia,OWID_CZS,2022,0,0,0,0
Denmark,DNK,1989,0,0,0,0
Denmark,DNK,1992,0,0,0,0
Denmark,DNK,1995,0,0,0,0
Denmark,DNK,1998,0,0,0,0
Denmark,DNK,2001,0,0,0,0
Denmark,DNK,2004,0,0,0,0
Denmark,DNK,2007,0,0,0,0
Denmark,DNK,2010,0,0,0,0
Denmark,DNK,2013,0,0,0,0
Denmark,DNK,2016,0,0,0,0
Denmark,DNK,2019,0,0,0,0
Denmark,DNK,2022,0,0,0,0
Malta,MLT,1989,0,0,0,0
Malta,MLT,1992,0,0,0,0
Malta,MLT,1995,0,0,0,0
Malta,MLT,1998,0,0,0,0
Malta,MLT,2001,0,0,0,0
Malta,MLT,2004,0,0,0,0
Malta,MLT,2007,0,0,0,0
Malta,MLT,2010,0,0,0,0
Malta,MLT,2013,0,0,0,0
Malta,MLT,2016,0,0,0,0
Malta,MLT,2019,0,0,0,0
Malta,MLT,2022,0,0,0,0
Mongolia,MNG,1989,0,0,0,0
Mongolia,MNG,1992,0,0,0,0
Mongolia,MNG,1995,0,0,0,0
Mongolia,MNG,1998,0,0,0,0
Mongolia,MNG,2001,0,0,0,0
Mongolia,MNG,2004,0,0,0,0
Mongolia,MNG,2007,0,0,0,0
Mongolia,MNG,2010,0,0,0,0
Mongolia,MNG,2013,0,0,0,0
Mongolia,MNG,2016,0,0,0,0
Mongolia,MNG,2019,0,0,0,0
Mongolia,MNG,2022,0,0,0,0
Morocco,MAR,1989,0,0,0,0
Morocco,MAR,1992,0,0,0,0
Morocco,MAR,1995,0,0,0,0
Morocco,MAR,1998,0,0,0,0
Morocco,MAR,2001,0,0,0,0
Morocco,MAR,2004,0,0,0,0
Morocco,MAR,2007,0,0,0,0
Morocco,MAR,2010,0,0,0,0
Morocco,MAR,2013,0,0,0,0
Morocco,MAR,2016,0,0,0,0
Morocco,MAR,2019,0,0,0,0
Morocco,MAR,2022,0,0,0,0
Zambia,ZMB,1989,86,0,0,0
Zambia,ZMB,1992,0,0,0,0
Zambia,ZMB,1995,0,0,0,0
Zambia,ZMB,1998,0,0,0,0
Zambia,ZMB,2001,0,0,0,0
Zambia,ZMB,2004,0,0,0,0
Zambia,ZMB,2007,0,0,0,0
Zambia,ZMB,2010,0,0,0,0
Zambia,ZMB,2013,0,0,0,0
Zambia,ZMB,2016,0,0,0,0
Zambia,ZMB,2019,0,0,0,0
Zambia,ZMB,2022,0,0,0,0
