Entity,Code,Year,Outbound departures (tourists) per 1000 people
Canada,CAN,1995,621.5894
Canada,CAN,2000,625.1606
Canada,CAN,2005,654.92474
Canada,CAN,2010,844.43805
Canada,CAN,2015,903.0251
Canada,CAN,2021,148.97125
Czechia,CZE,2005,677.3266
Czechia,CZE,2010,828.78235
Czechia,CZE,2015,556.45294
Czechia,CZE,2021,110.45836
France,FRA,1995,325.42465
France,FRA,2000,338.9729
France,FRA,2005,371.50836
France,FRA,2010,401.01166
France,FRA,2015,417.6163
France,FRA,2021,212.00516
Norway,NOR,1995,135.342
Norway,NOR,2000,533.04193
Norway,NOR,2005,684.7343
Norway,NOR,2010,1552.2275
Norway,NOR,2015,1685.8185
Norway,NOR,2021,344.25186
