Entity,Code,Year,Access to electricity (% of population),"GDP per capita, PPP (constant 2017 international $)",Continent
Afghanistan,AFG,2020,97.7,1968.341,
Albania,ALB,2020,100.0,13256.125,
Angola,AGO,2020,46.89061,6032.275,
Antigua and Barbuda,ATG,2020,100.0,18275.69,
Australia,AUS,2020,100.0,48747.85,
Bangladesh,BGD,2020,96.2,5591.374,
Benin,BEN,2020,41.410957,3186.478,
Bermuda,BMU,2020,100.0,76117.805,
Botswana,BWA,2020,71.99476,13545.674,
Burkina Faso,BFA,2020,18.95724,2093.7336,
Burundi,BDI,2020,11.735556,711.3553,
Cambodia,KHM,2020,86.4,4276.1846,
Cameroon,CMR,2020,64.72137,3665.5105,
Chad,TCD,2020,11.080117,1489.1868,
Congo,COG,2020,49.5171,3384.6543,
Cote d'Ivoire,CIV,2020,69.67912,5098.56,
Equatorial Guinea,GNQ,2020,66.74773,15132.38,
Eswatini,SWZ,2020,79.7305,8290.409,
Ethiopia,ETH,2020,51.093983,2253.2358,
Fiji,FJI,2020,100.0,10966.925,
Gabon,GAB,2020,91.57156,13903.289,
Gambia,GMB,2020,62.273067,2042.6202,
Guinea-Bissau,GNB,2020,33.33547,1803.6306,
Guyana,GUY,2020,92.54054,18430.57,
Iraq,IRQ,2020,100.0,8919.798,
Israel,ISR,2020,100.0,39351.895,
Kiribati,KIR,2020,91.96303,1944.8469,
Lesotho,LSO,2020,47.352737,2292.1953,
Liberia,LBR,2020,27.53471,1383.8281,
Malawi,MWI,2020,14.866769,1489.6014,
Namibia,NAM,2020,56.258694,9048.184,
Niger,NER,2020,19.25191,1214.5465,
Nigeria,NGA,2020,55.4,4865.087,
Pakistan,PAK,2020,75.37969,5004.352,
Senegal,SEN,2020,70.36894,3383.8884,
Somalia,SOM,2020,49.73087,1127.4186,
South Africa,ZAF,2020,84.38554,12815.909,
Tajikistan,TJK,2020,99.7793,3651.9421,
Uganda,UGA,2020,42.074417,2240.4902,
