Entity,Code,Year,Mean income or consumption,Population (historical estimates),Continent
Africa,,2019,,1327701380.0,
Asia,,2019,,4627738749.0,
Bangladesh,BGD,2019,,165516224.0,
Brazil,BRA,2019,21.11513,211782880.0,
China,CHN,2019,14.174434,1421864064.0,
Democratic Republic of Congo,COD,2019,,89906896.0,
Europe,,2019,,747418251.0,
Germany,DEU,2019,65.8802,83148144.0,
India,IND,2019,4.9689527,1383112064.0,
Indonesia,IDN,2019,7.3372326,269582880.0,
Iran,IRN,2019,14.452303,86564208.0,
Italy,ITA,2019,49.89793,59727936.0,
Japan,JPN,2019,,125791680.0,
Malawi,MWI,2019,2.0693629,18867340.0,
Mexico,MEX,2019,,125085312.0,
North America,,2019,,590497015.0,
Oceania,,2019,,43278474.0,
Pakistan,PAK,2019,,223293280.0,
South America,,2019,,428318218.0,
United States,USA,2019,85.874725,334319680.0,
Vietnam,VNM,2019,,95776712.0,
Western Sahara,ESH,2019,,544883.0,
