Entity,Code,Year,"GDP per capita (output, multiple price benchmarks)"
China,CHN,1960,994.17474
China,CHN,1970,1292.507
China,CHN,1980,1678.2577
China,CHN,1990,2427.055
China,CHN,2000,4199.84
China,CHN,2010,10116.533
China,CHN,2019,14128.812
France,FRA,1950,7635.002
France,FRA,1960,11134.624
France,FRA,1970,17435.078
France,FRA,1980,24980.373
France,FRA,1990,27149.924
France,FRA,2000,34969.0
France,FRA,2010,39900.06
France,FRA,2019,43755.062
Germany,DEU,1950,5227.417
Germany,DEU,1960,11158.834
Germany,DEU,1970,15778.724
Germany,DEU,1980,22038.219
Germany,DEU,1990,28100.42
Germany,DEU,2000,37290.406
Germany,DEU,2010,45435.336
Germany,DEU,2019,51190.89
India,IND,1950,950.7153
India,IND,1960,1168.0719
India,IND,1970,1434.1698
India,IND,1980,1310.5286
India,IND,1990,1430.1027
India,IND,2000,2137.655
India,IND,2010,4554.7417
India,IND,2019,6711.385
Japan,JPN,1950,2804.927
Japan,JPN,1960,5473.6265
Japan,JPN,1970,13023.325
Japan,JPN,1980,20852.17
Japan,JPN,1990,29385.457
Japan,JPN,2000,37915.273
Japan,JPN,2010,39789.7
Japan,JPN,2019,39704.234
South Korea,KOR,1960,1256.0479
South Korea,KOR,1970,2210.7944
South Korea,KOR,1980,5414.4873
South Korea,KOR,1990,13819.284
South Korea,KOR,2000,24834.428
South Korea,KOR,2010,35927.84
South Korea,KOR,2019,42219.47
United Kingdom,GBR,1950,10457.379
United Kingdom,GBR,1960,13277.785
United Kingdom,GBR,1970,16703.924
United Kingdom,GBR,1980,22179.236
United Kingdom,GBR,1990,25300.64
United Kingdom,GBR,2000,35217.96
United Kingdom,GBR,2010,39109.24
United Kingdom,GBR,2019,44274.957
United States,USA,1950,15911.842
United States,USA,1960,19079.525
United States,USA,1970,25444.533
United States,USA,1980,31852.342
United States,USA,1990,39577.016
United States,USA,2000,50036.992
United States,USA,2010,53887.066
United States,USA,2019,62589.0
