Entity,Code,Year,Mean BMI (female)
Canada,CAN,1975,23.71977809
Canada,CAN,1980,24.07021759
Canada,CAN,1985,24.49727653
Canada,CAN,1990,24.98579606
Canada,CAN,1995,25.50447782
Canada,CAN,2000,25.99758282
Canada,CAN,2005,26.34834303
Canada,CAN,2010,26.57243243
Canada,CAN,2016,26.76370753
China,CHN,1975,21.26967863
China,CHN,1980,21.50339951
China,CHN,1985,21.80654323
China,CHN,1990,22.06285827
China,CHN,1995,22.26906222
China,CHN,2000,22.48811066
China,CHN,2005,22.78308903
China,CHN,2010,23.16244451
China,CHN,2016,23.59199764
Ecuador,ECU,1975,22.41916533
Ecuador,ECU,1980,23.17221275
Ecuador,ECU,1985,23.92844438
Ecuador,ECU,1990,24.65261214
Ecuador,ECU,1995,25.33407335
Ecuador,ECU,2000,25.99334111
Ecuador,ECU,2005,26.6155237
Ecuador,ECU,2010,27.25421757
Ecuador,ECU,2016,28.0662789
Ghana,GHA,1975,19.74649499
Ghana,GHA,1980,20.38159172
Ghana,GHA,1985,21.02137799
Ghana,GHA,1990,21.71706345
Ghana,GHA,1995,22.46491239
Ghana,GHA,2000,23.27954179
Ghana,GHA,2005,24.06730353
Ghana,GHA,2010,24.71914762
Ghana,GHA,2016,25.38987538
India,IND,1975,18.57005877
India,IND,1980,19.07537407
India,IND,1985,19.55566804
India,IND,1990,19.98511019
India,IND,1995,20.37527253
India,IND,2000,20.78255592
India,IND,2005,21.1866745
India,IND,2010,21.560727
India,IND,2016,22.00366557
Mexico,MEX,1975,22.85074725
Mexico,MEX,1980,23.82547624
Mexico,MEX,1985,24.7483651
Mexico,MEX,1990,25.65045391
Mexico,MEX,1995,26.51424096
Mexico,MEX,2000,27.22701965
Mexico,MEX,2005,27.72717415
Mexico,MEX,2010,28.11767477
Mexico,MEX,2016,28.5927059
United States,USA,1975,24.71959003
United States,USA,1980,25.0917095
United States,USA,1985,25.56969097
United States,USA,1990,26.16717658
United States,USA,1995,26.86862952
United States,USA,2000,27.58170466
United States,USA,2005,28.16483363
United States,USA,2010,28.62012062
United States,USA,2016,29.07070589
