Entity,Code,Year,"Current number of cases of down syndrome per 100 people, in both sexes aged age-standardized"
Central African Republic,CAF,1990,0.0115764225
Central African Republic,CAF,1995,0.010671968
Central African Republic,CAF,2000,0.010763666
Central African Republic,CAF,2005,0.01105133
Central African Republic,CAF,2010,0.011233545
Central African Republic,CAF,2015,0.011327502
Central African Republic,CAF,2019,0.012203172
Gambia,GMB,1990,0.011787742
Gambia,GMB,1995,0.011523209
Gambia,GMB,2000,0.011547824
Gambia,GMB,2005,0.0118527
Gambia,GMB,2010,0.012181958
Gambia,GMB,2015,0.012144405
Gambia,GMB,2019,0.012864721
High Income (WB),,1990,0.046747044
High Income (WB),,1995,0.04687127
High Income (WB),,2000,0.04756026
High Income (WB),,2005,0.0474595
High Income (WB),,2010,0.04624958
High Income (WB),,2015,0.045677405
High Income (WB),,2019,0.050091974
Kuwait,KWT,1990,0.021447951
Kuwait,KWT,1995,0.023894992
Kuwait,KWT,2000,0.025220491
Kuwait,KWT,2005,0.026120886
Kuwait,KWT,2010,0.026818866
Kuwait,KWT,2015,0.02825162
Kuwait,KWT,2019,0.031010376
