Entity,Code,Year,"Unemployment, male (% of male labor force) (modeled ILO estimate)","Unemployment, female (% of female labor force) (modeled ILO estimate)",Continent
Afghanistan,AFG,2021,12.057,19.09,
Albania,ALB,2021,11.736,11.93,
Algeria,DZA,2021,10.437,22.132,
Angola,AGO,2021,7.958,9.112,
Argentina,ARG,2021,9.113,13.277,
Armenia,ARM,2021,19.757,22.301,
Australia,AUS,2021,5.384,4.804,
Azerbaijan,AZE,2021,5.497,7.746,
Bahamas,BHS,2021,13.034,13.446,
Bahrain,BHR,2021,0.973,5.631,
Bangladesh,BGD,2021,4.074,7.872,
Barbados,BRB,2021,11.486,9.29,
Belize,BLZ,2021,5.864,11.965,
Benin,BEN,2021,1.295,1.86,
Bhutan,BTN,2021,3.48,5.636,
Bosnia and Herzegovina,BIH,2021,13.579,17.722,
Botswana,BWA,2021,23.662,25.829,
Cape Verde,CPV,2021,15.731,15.016,
Comoros,COM,2021,7.897,12.095,
Congo,COG,2021,21.353,24.708,
Costa Rica,CRI,2021,13.661,24.286,
Cuba,CUB,2021,2.614,2.991,
Djibouti,DJI,2021,24.555,39.358,
Egypt,EGY,2021,5.906,24.279,
Finland,FIN,2021,8.021,6.984,
Gabon,GAB,2021,16.863,30.5,
Germany,DEU,2021,3.865,3.164,
Iran,IRN,2021,9.894,18.956,
Iraq,IRQ,2021,11.335,32.819,
Ireland,IRL,2021,6.622,6.647,
Jordan,JOR,2021,17.56,27.233,
Kuwait,KWT,2021,2.007,8.938,
Libya,LBY,2021,15.548,26.835,
Mali,MLI,2021,6.887,8.847,
Middle East and North Africa (WB),,2021,8.366795,19.8594,
Montenegro,MNE,2021,17.815,19.321,
Namibia,NAM,2021,22.701,20.618,
Oman,OMN,2021,1.713,12.927,
Palestine,PSE,2021,21.241,39.728,
Panama,PAN,2021,9.453,15.833,
Puerto Rico,PRI,2021,9.162,7.076,
Saint Lucia,LCA,2021,15.133,18.872,
Sao Tome and Principe,STP,2021,12.128,22.936,
Saudi Arabia,SAU,2021,3.716,21.573,
South Africa,ZAF,2021,31.836,35.68,
Sudan,SDN,2021,14.625,31.818,
