Entity,Code,Year,Maize | 00000056 || Production | 005510 || tonnes
China,CHN,1961,18000000.0
China,CHN,1970,33030000.0
China,CHN,1980,62600000.0
China,CHN,1990,96819010.0
China,CHN,2000,106000000.0
China,CHN,2010,177425000.0
China,CHN,2021,272552000.0
India,IND,1961,4312000.0
India,IND,1970,7485600.0
India,IND,1980,6957000.0
India,IND,1990,8961700.0
India,IND,2000,12043200.0
India,IND,2010,21725800.0
India,IND,2021,31650000.0
Russia,RUS,2000,1489399.0
Russia,RUS,2010,3084351.0
Russia,RUS,2021,15239865.0
United States,USA,1961,91388000.0
United States,USA,1970,105471120.0
United States,USA,1980,168647000.0
United States,USA,1990,201532000.0
United States,USA,2000,251853900.0
United States,USA,2010,315617920.0
United States,USA,2021,383943000.0
