Entity,Code,Year,Weekly working hours for full-time production workers in non-agricultural activities (Huberman & Minns 2007)
France,FRA,1870,66.1
France,FRA,1880,66.0
France,FRA,1900,65.9
France,FRA,1960,45.9
France,FRA,1980,40.7
France,FRA,2000,35.75
Spain,ESP,1870,64.7
Spain,ESP,1880,62.7
Spain,ESP,1900,59.1
Spain,ESP,1980,40.0
Spain,ESP,2000,35.45
Sweden,SWE,1870,69.6
Sweden,SWE,1880,64.6
Sweden,SWE,1900,56.0
Sweden,SWE,1960,43.4
Sweden,SWE,1980,37.7
Sweden,SWE,2000,37.7
United Kingdom,GBR,1870,56.9
United Kingdom,GBR,1880,56.6
United Kingdom,GBR,1900,56.0
United Kingdom,GBR,1960,44.7
United Kingdom,GBR,1980,40.0
United Kingdom,GBR,2000,40.45
