Entity,Code,Year,Exports of goods and services (constant 2015 US$)
Argentina,ARG,1960,5232423400.0
Argentina,ARG,1970,9013135000.0
Argentina,ARG,1980,14372485000.0
Argentina,ARG,1990,23656348000.0
Argentina,ARG,2000,44901265000.0
Argentina,ARG,2010,73068130000.0
Argentina,ARG,2015,63671788000.0
Argentina,ARG,2021,68311642000.0
Brazil,BRA,1960,6077819400.0
Brazil,BRA,1970,12572130000.0
Brazil,BRA,1980,32390244000.0
Brazil,BRA,1990,64141680000.0
Brazil,BRA,2000,112016376000.0
Brazil,BRA,2010,205718200000.0
Brazil,BRA,2015,232489100000.0
Brazil,BRA,2021,258997650000.0
France,FRA,1960,35413512000.0
France,FRA,1970,83525260000.0
France,FRA,1980,168875260000.0
France,FRA,1990,252392690000.0
France,FRA,2000,511194330000.0
France,FRA,2010,618003960000.0
France,FRA,2015,746211800000.0
France,FRA,2021,761764500000.0
Germany,DEU,1970,153460700000.0
Germany,DEU,1980,252827800000.0
Germany,DEU,1990,422568200000.0
Germany,DEU,2000,775728900000.0
Germany,DEU,2010,1265994700000.0
Germany,DEU,2015,1575404000000.0
Germany,DEU,2021,1744760000000.0
Nigeria,NGA,1990,18871177000.0
Nigeria,NGA,2000,22608080000.0
Nigeria,NGA,2010,44610790000.0
Nigeria,NGA,2015,52587760000.0
Nigeria,NGA,2021,32719050000.0
South Korea,KOR,1960,155062400.0
South Korea,KOR,1970,2241509400.0
South Korea,KOR,1980,16828072000.0
South Korea,KOR,1990,48903713000.0
South Korea,KOR,2000,193569500000.0
South Korea,KOR,2010,485731040000.0
South Korea,KOR,2015,630129500000.0
South Korea,KOR,2021,750688300000.0
United Kingdom,GBR,1970,139575020000.0
United Kingdom,GBR,1980,216749240000.0
United Kingdom,GBR,1990,306920750000.0
United Kingdom,GBR,2000,552545000000.0
United Kingdom,GBR,2010,713882340000.0
United Kingdom,GBR,2015,810910800000.0
United Kingdom,GBR,2021,822430660000.0
United States,USA,1970,191417350000.0
United States,USA,1980,384772700000.0
United States,USA,1990,659885500000.0
United States,USA,2000,1313437400000.0
United States,USA,2010,1897489900000.0
United States,USA,2015,2268651000000.0
United States,USA,2021,2257272200000.0
