Entity,Code,Year,Number of one-year-olds not vaccinated with Hib3
Albania,ALB,2009,689
Albania,ALB,2010,340
Albania,ALB,2012,338
Albania,ALB,2014,686
Albania,ALB,2016,659
Albania,ALB,2018,301
Albania,ALB,2020,561
Albania,ALB,2021,554
Pakistan,PAK,2009,2643314
Pakistan,PAK,2010,2690165
Pakistan,PAK,2012,2093243
Pakistan,PAK,2014,1837566
Pakistan,PAK,2016,1468632
Pakistan,PAK,2018,1173753
Pakistan,PAK,2020,1363408
Pakistan,PAK,2021,1015657
Papua New Guinea,PNG,2009,56782
Papua New Guinea,PNG,2010,70689
Papua New Guinea,PNG,2012,77753
Papua New Guinea,PNG,2014,100495
Papua New Guinea,PNG,2016,126203
Papua New Guinea,PNG,2018,154471
Papua New Guinea,PNG,2020,147401
Papua New Guinea,PNG,2021,167925
