Entity,Code,Year,16.6.1 - Primary government expenditures as a proportion of original approved budget (%) - GF_XPD_GBPC
Gabon,GAB,2007,92.55
Gabon,GAB,2008,129.2
Gabon,GAB,2010,117.54
Gabon,GAB,2012,111.37
Gabon,GAB,2014,71.21
Gabon,GAB,2016,81.03
Gabon,GAB,2018,91.76
Gabon,GAB,2020,92.18
Kosovo,OWID_KOS,2007,92.17
Kosovo,OWID_KOS,2008,93.16
Kosovo,OWID_KOS,2010,104.8
Kosovo,OWID_KOS,2012,94.01
Kosovo,OWID_KOS,2014,92.05
Kosovo,OWID_KOS,2016,98.0
Kosovo,OWID_KOS,2018,91.71
Kosovo,OWID_KOS,2020,93.37
Mexico,MEX,2007,110.55
Mexico,MEX,2008,124.0
Mexico,MEX,2010,105.63
Mexico,MEX,2012,106.35
Mexico,MEX,2014,102.23
Mexico,MEX,2016,112.89
Mexico,MEX,2018,106.29
Mexico,MEX,2020,98.36
Montenegro,MNE,2010,99.17
Montenegro,MNE,2012,104.47
Montenegro,MNE,2014,108.9
Montenegro,MNE,2016,93.63
Montenegro,MNE,2018,105.08
Montenegro,MNE,2020,110.74
Namibia,NAM,2008,97.51
Namibia,NAM,2010,97.98
Namibia,NAM,2012,99.72
Namibia,NAM,2014,103.1
Namibia,NAM,2016,102.25
Namibia,NAM,2018,117.35
Namibia,NAM,2020,112.37
Namibia,NAM,2022,116.59
Netherlands,NLD,2014,99.33
Netherlands,NLD,2016,99.7
Netherlands,NLD,2018,99.34
Netherlands,NLD,2020,106.57
Netherlands,NLD,2022,101.67
Tuvalu,TUV,2007,101.54
Tuvalu,TUV,2008,110.1
