Entity,Code,Year,Share of global food emissions
Benin,BEN,1990,0.108943268
Benin,BEN,1995,0.107688443
Benin,BEN,2000,0.120578189
Benin,BEN,2005,0.08860742
Benin,BEN,2010,0.093807402
Benin,BEN,2015,0.09649494
Cambodia,KHM,1990,0.286446839
Cambodia,KHM,1995,0.286394668
Cambodia,KHM,2000,0.289500127
Cambodia,KHM,2005,0.314965162
Cambodia,KHM,2010,0.290098346
Cambodia,KHM,2015,0.295633933
Guadeloupe,GLP,1990,0.001958935
Guadeloupe,GLP,1995,0.001964269
Guadeloupe,GLP,2000,0.002506628
Guadeloupe,GLP,2005,0.002506086
Guadeloupe,GLP,2010,0.003341636
Guadeloupe,GLP,2015,0.003132199
India,IND,1990,4.895768196
India,IND,1995,5.166073064
India,IND,2000,5.498219084
India,IND,2005,5.391330581
India,IND,2010,5.9619751
India,IND,2015,6.292091425
Malaysia,MYS,1990,0.605672467
Malaysia,MYS,1995,0.611834198
Malaysia,MYS,2000,0.610844088
Malaysia,MYS,2005,0.832919103
Malaysia,MYS,2010,0.543186571
Malaysia,MYS,2015,0.689537438
Maldives,MDV,1990,0.000253424
Maldives,MDV,1995,0.00035235
Maldives,MDV,2000,0.000416192
Maldives,MDV,2005,0.00049262
Maldives,MDV,2010,0.000776004
Maldives,MDV,2015,0.000927176
Zambia,ZMB,1990,2.701700798
Zambia,ZMB,1995,2.620963984
Zambia,ZMB,2000,2.389345791
Zambia,ZMB,2005,3.014230723
Zambia,ZMB,2010,2.436297062
Zambia,ZMB,2015,2.561298759
