Entity,Code,Year,Cumulative CO₂ emissions from land-use change
Brazil,BRA,1850,41219050.0
Brazil,BRA,1860,462224580.0
Brazil,BRA,1880,1551700400.0
Brazil,BRA,1900,4157998600.0
Brazil,BRA,1920,9742721000.0
Brazil,BRA,1940,16400877000.0
Brazil,BRA,1960,30270366000.0
Brazil,BRA,1980,55366214000.0
Brazil,BRA,2000,88434780000.0
Brazil,BRA,2022,119764680000.0
China,CHN,1850,237244110.0
China,CHN,1860,2287517000.0
China,CHN,1880,2635442400.0
China,CHN,1900,3865579500.0
China,CHN,1920,8277590000.0
China,CHN,1940,13026665000.0
China,CHN,1960,20572525000.0
China,CHN,1980,30563293000.0
China,CHN,2000,56823010000.0
China,CHN,2022,66719064000.0
European Union (27),,1850,349301600.0
European Union (27),,1860,3620734500.0
European Union (27),,1880,9402771000.0
European Union (27),,1900,15280787000.0
European Union (27),,1920,20795350000.0
European Union (27),,1940,26007607000.0
European Union (27),,1960,28180793000.0
European Union (27),,1980,25527800000.0
European Union (27),,2000,22703516000.0
European Union (27),,2022,19039592000.0
India,IND,1850,301238050.0
India,IND,1860,1851299700.0
India,IND,1880,4089478000.0
India,IND,1900,6438073000.0
India,IND,1920,8635120000.0
India,IND,1940,17771215000.0
India,IND,1960,30409007000.0
India,IND,1980,36817030000.0
India,IND,2000,40042090000.0
India,IND,2022,42374420000.0
Indonesia,IDN,1850,122024460.0
Indonesia,IDN,1860,3226849000.0
Indonesia,IDN,1880,9518494000.0
Indonesia,IDN,1900,17662126000.0
Indonesia,IDN,1920,28188980000.0
Indonesia,IDN,1940,37776364000.0
Indonesia,IDN,1960,48211960000.0
Indonesia,IDN,1980,54489907000.0
Indonesia,IDN,2000,71570120000.0
Indonesia,IDN,2022,89651960000.0
United Kingdom,GBR,1850,8536607.0
United Kingdom,GBR,1860,-7614891.0
United Kingdom,GBR,1880,697680300.0
United Kingdom,GBR,1900,1383029400.0
United Kingdom,GBR,1920,2026831600.0
United Kingdom,GBR,1940,2261246500.0
United Kingdom,GBR,1960,2695418000.0
United Kingdom,GBR,1980,2880461000.0
United Kingdom,GBR,2000,2935186700.0
United Kingdom,GBR,2022,3237034500.0
United States,USA,1850,806636900.0
United States,USA,1860,10612568000.0
United States,USA,1880,34095729000.0
United States,USA,1900,63933240000.0
United States,USA,1920,91055930000.0
United States,USA,1940,108791144000.0
United States,USA,1960,118101025000.0
United States,USA,1980,123083825000.0
United States,USA,2000,127227460000.0
United States,USA,2022,128049000000.0
