Entity,Code,Year,"Deaths that are from all causes attributed to low physical activity per 100,000 people, in both sexes aged all ages"
Burkina Faso,BFA,1990,1.2560492
Burkina Faso,BFA,1995,1.4897751
Burkina Faso,BFA,2000,1.6118714
Burkina Faso,BFA,2005,1.668694
Burkina Faso,BFA,2010,1.6433079
Burkina Faso,BFA,2015,1.4642503
Burkina Faso,BFA,2019,1.4577367
Cook Islands,COK,1990,12.680318
Cook Islands,COK,1995,14.724166
Cook Islands,COK,2000,18.158213
Cook Islands,COK,2005,20.339914
Cook Islands,COK,2010,22.42323
Cook Islands,COK,2015,27.326818
Cook Islands,COK,2019,31.255562
Guatemala,GTM,1990,0.5254439
Guatemala,GTM,1995,0.57462806
Guatemala,GTM,2000,0.5671057
Guatemala,GTM,2005,0.63632303
Guatemala,GTM,2010,0.78287566
Guatemala,GTM,2015,0.88832235
Guatemala,GTM,2019,0.9699973
Iceland,ISL,1990,20.062744
Iceland,ISL,1995,20.136831
Iceland,ISL,2000,18.21731
Iceland,ISL,2005,17.251087
Iceland,ISL,2010,16.039993
Iceland,ISL,2015,15.726716
Iceland,ISL,2019,16.344044
Mongolia,MNG,1990,5.265877
Mongolia,MNG,1995,5.843056
Mongolia,MNG,2000,5.723144
Mongolia,MNG,2005,4.672446
Mongolia,MNG,2010,4.2120705
Mongolia,MNG,2015,4.0975285
Mongolia,MNG,2019,5.2466044
Portugal,PRT,1990,29.832802
Portugal,PRT,1995,28.132845
Portugal,PRT,2000,28.343565
Portugal,PRT,2005,26.739044
Portugal,PRT,2010,25.875128
Portugal,PRT,2015,22.398119
Portugal,PRT,2019,32.3756
Qatar,QAT,1990,9.168694
Qatar,QAT,1995,8.600618
Qatar,QAT,2000,10.770084
Qatar,QAT,2005,9.849286
Qatar,QAT,2010,6.0734715
Qatar,QAT,2015,5.145598
Qatar,QAT,2019,5.6789417
