Entity,Code,Year,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol) - Beverage types: Spirits"
Bahamas,BHS,1970,9.84
Bahamas,BHS,1980,9.22
Bahamas,BHS,1990,7.49
Bahamas,BHS,2000,6.29432
Bahamas,BHS,2010,3.98
Bahamas,BHS,2019,4.08
Saudi Arabia,SAU,1970,0.0
Saudi Arabia,SAU,1980,0.01
Saudi Arabia,SAU,1990,0.0
Saudi Arabia,SAU,2000,0.0512
Saudi Arabia,SAU,2010,0.0
Saudi Arabia,SAU,2019,0.0
Ukraine,UKR,1980,3.56
Ukraine,UKR,1990,3.16
Ukraine,UKR,2000,5.30471
Ukraine,UKR,2010,3.87
Ukraine,UKR,2019,2.88
United Arab Emirates,ARE,1980,13.27
United Arab Emirates,ARE,1990,3.29
United Arab Emirates,ARE,2000,1.02962
United Arab Emirates,ARE,2010,1.36
United Arab Emirates,ARE,2019,1.65
United States,USA,1960,3.26
United States,USA,1970,4.2
United States,USA,1980,3.94
United States,USA,1990,2.91
United States,USA,2000,2.4224
United States,USA,2010,2.81
United States,USA,2019,3.29
Zimbabwe,ZWE,1970,1.28
Zimbabwe,ZWE,1980,3.28
Zimbabwe,ZWE,1990,2.88
Zimbabwe,ZWE,2000,0.41875
Zimbabwe,ZWE,2010,0.36
Zimbabwe,ZWE,2019,0.39
