Entity,Code,Year,Patent applications per million people
Barbados,BRB,2020,103.311676
Costa Rica,CRI,1980,12.425931
Costa Rica,CRI,1985,5.7731156
Costa Rica,CRI,1990,4.749455
Costa Rica,CRI,1995,6.9972053
Costa Rica,CRI,2000,7.0366096
Costa Rica,CRI,2005,3.938929
Costa Rica,CRI,2010,1.7307588
Costa Rica,CRI,2015,3.4727607
Costa Rica,CRI,2020,2.3423285
Jamaica,JAM,1990,1.6722163
Jamaica,JAM,1995,2.789546
Jamaica,JAM,2000,4.211005
Jamaica,JAM,2005,3.735709
Jamaica,JAM,2010,5.120882
Jamaica,JAM,2015,2.5049608
Jamaica,JAM,2020,3.5455487
Netherlands,NLD,1980,129.22508
Netherlands,NLD,1985,133.51056
Netherlands,NLD,1990,143.66441
Netherlands,NLD,1995,137.44063
Netherlands,NLD,2000,155.03986
Netherlands,NLD,2005,136.33148
Netherlands,NLD,2010,152.07207
Netherlands,NLD,2015,129.51035
Netherlands,NLD,2020,126.07142
Portugal,PRT,1980,9.401905
Portugal,PRT,1985,8.502644
Portugal,PRT,1990,10.092585
Portugal,PRT,1995,8.0587
Portugal,PRT,2000,7.863595
Portugal,PRT,2005,15.014281
Portugal,PRT,2010,47.12704
Portugal,PRT,2015,89.23889
Portugal,PRT,2020,67.48762
