Entity,Code,Year,egaldem_vdem_owid,region
Afghanistan,AFG,2022,0.019,Asia
Africa,,2022,0.26357144,World
Asia,,2022,0.2504898,World
Barbados,BRB,2022,0.651,North America
Botswana,BWA,2022,0.399,Africa
Denmark,DNK,2022,0.878,Europe
El Salvador,SLV,2022,0.144,North America
Ethiopia,ETH,2022,0.22,Africa
Europe,,2022,0.62373173,World
Gabon,GAB,2022,0.28,Africa
Hungary,HUN,2022,0.324,Europe
Moldova,MDA,2022,0.582,Europe
Netherlands,NLD,2022,0.765,Europe
North America,,2022,0.4038,World
North Korea,PRK,2022,0.084,Asia
North Macedonia,MKD,2022,0.364,Europe
Oceania,,2022,0.50016665,World
Philippines,PHL,2022,0.193,Asia
Poland,POL,2022,0.494,Europe
Saudi Arabia,SAU,2022,0.109,Asia
Slovakia,SVK,2022,0.702,Europe
Somaliland,OWID_SML,2022,0.172,Africa
South America,,2022,0.43166667,World
World,OWID_WRL,2022,0.37343577,World
