Entity,Code,Year,Gross national income per capita
Austria,AUT,1990,38902.26
Austria,AUT,1995,41623.426
Austria,AUT,2000,47031.3
Austria,AUT,2005,50119.41
Austria,AUT,2010,52538.42
Austria,AUT,2015,52450.24
Austria,AUT,2021,53618.67
Belarus,BLR,1990,8894.806
Belarus,BLR,1995,5787.3604
Belarus,BLR,2000,8028.452
Belarus,BLR,2005,11924.922
Belarus,BLR,2010,17009.02
Belarus,BLR,2015,17544.2
Belarus,BLR,2021,18848.967
Cameroon,CMR,1990,3262.4512
Cameroon,CMR,1995,2509.839
Cameroon,CMR,2000,2703.2175
Cameroon,CMR,2005,3069.3667
Cameroon,CMR,2010,3193.326
Cameroon,CMR,2015,3522.297
Cameroon,CMR,2021,3620.9324
Dominica,DMA,1990,8659.549
Dominica,DMA,1995,8268.568
Dominica,DMA,2000,8853.515
Dominica,DMA,2005,9765.249
Dominica,DMA,2010,12295.147
Dominica,DMA,2015,11929.39
Dominica,DMA,2021,11487.624
Kenya,KEN,1990,3448.0488
Kenya,KEN,1995,3192.6497
Kenya,KEN,2000,3159.1936
Kenya,KEN,2005,3326.6104
Kenya,KEN,2010,3246.8145
Kenya,KEN,2015,3675.554
Kenya,KEN,2021,4473.5703
Liberia,LBR,1990,1825.7892
Liberia,LBR,1995,518.1479
Liberia,LBR,2000,1596.838
Liberia,LBR,2005,1139.174
Liberia,LBR,2010,1334.6416
Liberia,LBR,2015,1484.9249
Liberia,LBR,2021,1288.7423
Lithuania,LTU,1990,15372.705
Lithuania,LTU,1995,9057.385
Lithuania,LTU,2000,12815.868
Lithuania,LTU,2005,20467.188
Lithuania,LTU,2010,23319.324
Lithuania,LTU,2015,29301.098
Lithuania,LTU,2021,37931.305
Mauritania,MRT,1990,4386.778
Mauritania,MRT,1995,4532.2183
Mauritania,MRT,2000,4304.4707
Mauritania,MRT,2005,4642.694
Mauritania,MRT,2010,4610.543
Mauritania,MRT,2015,4887.009
Mauritania,MRT,2021,5075.3057
Norway,NOR,1990,36062.793
Norway,NOR,1995,41251.688
Norway,NOR,2000,54793.9
Norway,NOR,2005,63543.38
Norway,NOR,2010,64988.875
Norway,NOR,2015,66756.62
Norway,NOR,2021,64660.105
Somalia,SOM,1990,1692.608
Somalia,SOM,1995,1147.3213
Somalia,SOM,2000,1069.7057
Somalia,SOM,2005,1063.6328
Somalia,SOM,2010,1046.8833
Somalia,SOM,2015,1090.4725
Somalia,SOM,2021,1017.96783
