Entity,Code,Year,Deaths - Malaria - Sex: Both - Age: All Ages (Number),Deaths - Tuberculosis - Sex: Both - Age: All Ages (Number),Deaths - HIV/AIDS - Sex: Both - Age: All Ages (Number)
Guinea,GIN,1990,8155,4559,251
Guinea,GIN,1995,9830,4837,1267
Guinea,GIN,2000,11429,4965,3194
Guinea,GIN,2005,13628,4570,4794
Guinea,GIN,2010,15037,4684,4333
Guinea,GIN,2015,12822,5007,4363
Guinea,GIN,2019,11336,4396,4037
World,OWID_WRL,1990,840553,1777469,336387
World,OWID_WRL,1995,862940,1739497,939400
World,OWID_WRL,2000,882382,1715139,1560801
World,OWID_WRL,2005,940883,1533147,1833561
World,OWID_WRL,2010,910161,1365562,1365783
World,OWID_WRL,2015,703065,1268132,1030605
World,OWID_WRL,2019,643381,1179766,863837
