Entity,Code,Year,"Total density per million population, gamma camera or nuclear medicine"
Afghanistan,AFG,2013,0.0
Australia,AUS,2018,18.94
Canada,CAN,2013,20.35
Canada,CAN,2021,15.58
Ethiopia,ETH,2013,0.011
Ethiopia,ETH,2021,0.009
Finland,FIN,2013,8.29
Finland,FIN,2021,7.58
France,FRA,2018,7.08
Greece,GRC,2013,14.38
Greece,GRC,2018,13.82
Italy,ITA,2018,7.69
Japan,JPN,2018,11.5
Malaysia,MYS,2013,0.71
Mexico,MEX,2013,0.76
Mexico,MEX,2021,0.89
South Africa,ZAF,2013,0.53
South Africa,ZAF,2021,0.47
Sudan,SDN,2013,0.13
Turkey,TUR,2013,3.82
Turkey,TUR,2018,3.55
United States,USA,2018,48.37
Zimbabwe,ZWE,2013,0.28
