Entity,Code,Year,Annual CO₂ emissions per GDP (kg per international-$)
China,CHN,1950,0.18044026
China,CHN,2000,0.6130347
China,CHN,2018,0.57041377
India,IND,1900,0.043907512
India,IND,1950,0.17244388
India,IND,2000,0.352489
India,IND,2018,0.29347315
Indonesia,IDN,1900,0.023292577
Indonesia,IDN,1950,0.09296629
Indonesia,IDN,2000,0.24714956
Indonesia,IDN,2018,0.19317506
Pakistan,PAK,1950,0.13243566
Pakistan,PAK,2000,0.22605446
Pakistan,PAK,2018,0.16917954
United States,USA,1820,0.029652817
United States,USA,1850,0.23112234
United States,USA,1900,1.0793818
United States,USA,1950,1.0951798
United States,USA,2000,0.46325025
United States,USA,2018,0.29645014
World,OWID_WRL,1820,0.04456095
World,OWID_WRL,1850,0.13601981
World,OWID_WRL,1900,0.57320833
World,OWID_WRL,1950,0.70516235
World,OWID_WRL,2000,0.42596808
World,OWID_WRL,2018,0.32356676
