Entity,Code,Year,Share of urban population (estimates),Share of urban population (future projections)
Africa,,1975,60.490173,
Africa,,1980,61.974453,
Africa,,1990,66.147026,
Africa,,2000,71.38423,
Africa,,2010,74.71019,
Africa,,2020,76.18168,
Africa,,2030,,79.851166
Asia,,1975,81.804245,
Asia,,1980,82.14044,
Asia,,1990,86.42257,
Asia,,2000,89.64293,
Asia,,2010,91.3483,
Asia,,2020,92.432556,
Asia,,2030,,93.202354
Europe,,1975,75.3917,
Europe,,1980,75.5138,
Europe,,1990,76.3275,
Europe,,2000,77.16708,
Europe,,2010,77.34714,
Europe,,2020,77.91003,
Europe,,2030,,77.56729
North America,,1975,70.91232,
North America,,1980,72.21859,
North America,,1990,75.02386,
North America,,2000,77.75732,
North America,,2010,79.72408,
North America,,2020,80.99338,
North America,,2030,,81.67995
Oceania,,1975,68.643524,
Oceania,,1980,69.52803,
Oceania,,1990,70.539925,
Oceania,,2000,70.42174,
Oceania,,2010,71.85195,
Oceania,,2020,74.9331,
Oceania,,2030,,76.191864
South America,,1975,76.54551,
South America,,1980,77.93088,
South America,,1990,79.72285,
South America,,2000,82.94373,
South America,,2010,84.995705,
South America,,2020,86.100655,
South America,,2030,,86.53723
World,OWID_WRL,1975,77.28725,
World,OWID_WRL,1980,77.711075,
World,OWID_WRL,1990,81.259315,
World,OWID_WRL,2000,84.31595,
World,OWID_WRL,2010,85.992226,
World,OWID_WRL,2020,86.91321,
World,OWID_WRL,2030,,87.87159
