Entity,Code,Year,Observation value - Unit_of_measure: Deaths per 100 live births - Indicator: Under-five mortality rate - Sex: Both sexes - Wealth_quintile: All wealth quintiles,$2.15 a day - Share of population in poverty,Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Angola,AGO,2019,7.5038376,,32353592.0,
Asia,,2019,,,4627738749.0,
Benin,BEN,2019,8.860635,,12290443.0,
Brazil,BRA,2019,1.494002,5.388581,211782880.0,
Burkina Faso,BFA,2019,8.822931,,20951638.0,
Cameroon,CMR,2019,7.509406,,25782342.0,
Central African Republic,CAF,2019,10.590899,,5209329.0,
China,CHN,2019,0.7979075,0.14242858,1421864064.0,
Comoros,COM,2019,5.307294,,790993.0,
Cote d'Ivoire,CIV,2019,7.9743156,,26147544.0,
Dominican Republic,DOM,2019,3.4340744,0.83268654,10881886.0,
Eswatini,SWZ,2019,5.6902075,,1169620.0,
Ethiopia,ETH,2019,5.085436,,114120592.0,
Europe,,2019,0.4738411,,747418251.0,
Fiji,FJI,2019,2.694037,1.3182689,918472.0,
Finland,FIN,2019,0.22744992,0.03882923,5521539.0,
Gambia,GMB,2019,5.148903,,2508882.0,
Georgia,GEO,2019,0.9701499,4.8486285,3770814.0,
Ghana,GHA,2019,4.721351,,31522294.0,
Honduras,HND,2019,1.7763884,12.742991,9958832.0,
India,IND,2019,3.4329019,12.731296,1383112064.0,
Indonesia,IDN,2019,2.3750138,4.380574,269582880.0,
Kenya,KEN,2019,3.9437916,,50951452.0,
Liberia,LBR,2019,8.0560055,,4985290.0,
Malawi,MWI,2019,4.5564547,70.0606,18867340.0,
Mali,MLI,2019,10.312911,,20567430.0,
Mozambique,MOZ,2019,7.3498373,74.38077,30285602.0,
Myanmar,MMR,2019,4.4770675,,53040212.0,
Niger,NER,2019,11.702052,,23443400.0,
Nigeria,NGA,2019,11.680171,,203304496.0,
North America,,2019,0.632825,,590497015.0,
Oceania,,2019,2.1083927,,43278474.0,
Pakistan,PAK,2019,6.7495565,,223293280.0,
Russia,RUS,2019,0.5837643,0.030001637,145742288.0,
Rwanda,RWA,2019,4.210347,,12835029.0,
Senegal,SEN,2019,4.181442,,16000783.0,
South Africa,ZAF,2019,3.4338288,,58087060.0,
South America,,2019,,,428318218.0,
South Sudan,SSD,2019,9.868964,,10447677.0,
Sudan,SDN,2019,5.843216,,43232092.0,
Tanzania,TZA,2019,5.044427,,59872584.0,
Togo,TGO,2019,6.6646004,,8243093.0,
Tunisia,TUN,2019,1.6862037,,12049319.0,
Uganda,UGA,2019,4.5559874,42.20773,42949076.0,
Vanuatu,VUT,2019,2.4671447,9.963333,304414.0,
Yemen,YEM,2019,6.159503,,31546694.0,
Zambia,ZMB,2019,6.2585325,,18380478.0,
Zimbabwe,ZWE,2019,5.2665887,39.75453,15354606.0,
