Entity,Code,Year,Neonatal deaths
Honduras,HND,1950,3753
Honduras,HND,1960,3950
Honduras,HND,1970,4036
Honduras,HND,1980,4056
Honduras,HND,1990,3375
Honduras,HND,2000,3301
Honduras,HND,2010,2874
Honduras,HND,2019,2176
Italy,ITA,1950,26390
Italy,ITA,1960,23929
Italy,ITA,1970,17563
Italy,ITA,1980,6072
Italy,ITA,1990,2972
Italy,ITA,2000,1705
Italy,ITA,2010,1271
Italy,ITA,2019,770
Saint Kitts and Nevis,KNA,1950,110
Saint Kitts and Nevis,KNA,1960,109
Saint Kitts and Nevis,KNA,1970,45
Saint Kitts and Nevis,KNA,1980,39
Saint Kitts and Nevis,KNA,1990,19
Saint Kitts and Nevis,KNA,2000,12
Saint Kitts and Nevis,KNA,2010,9
Saint Kitts and Nevis,KNA,2019,7
