Entity,Code,Year,wom_civ_soc_vdem_owid,wom_civ_soc_vdem_high_owid,wom_civ_soc_vdem_low_owid
Azerbaijan,AZE,1813,0.243,0.393,0.122
Azerbaijan,AZE,1850,0.226,0.366,0.114
Azerbaijan,AZE,1900,0.25,0.402,0.137
Azerbaijan,AZE,1950,0.316,0.464,0.178
Azerbaijan,AZE,2000,0.603,0.744,0.423
Azerbaijan,AZE,2022,0.544,0.703,0.355
Canada,CAN,1850,0.484,0.67,0.319
Canada,CAN,1900,0.406,0.567,0.255
Canada,CAN,1950,0.637,0.8,0.478
Canada,CAN,2000,0.862,0.939,0.738
Canada,CAN,2022,0.89,0.961,0.786
Cyprus,CYP,1900,0.067,0.154,0.021
Cyprus,CYP,1950,0.078,0.166,0.024
Cyprus,CYP,2000,0.75,0.878,0.61
Cyprus,CYP,2022,0.768,0.873,0.615
Tajikistan,TJK,1900,0.25,0.402,0.137
Tajikistan,TJK,1950,0.316,0.464,0.178
Tajikistan,TJK,2000,0.559,0.71,0.396
Tajikistan,TJK,2022,0.24,0.384,0.123
