Entity,Code,Year,Nuclear electricity per capita - kWh
France,FRA,1965,18.622013
France,FRA,1970,113.036316
France,FRA,1980,1140.3207
France,FRA,1990,5567.5215
France,FRA,2000,7076.7373
France,FRA,2010,6862.4062
France,FRA,2022,4609.2456
Germany,DEU,1965,1.5387151
Germany,DEU,1970,82.94315
Germany,DEU,1980,714.6338
Germany,DEU,1990,1920.9982
Germany,DEU,2000,2079.7854
Germany,DEU,2010,1728.3718
Germany,DEU,2022,430.1316
Japan,JPN,1965,0.2513352
Japan,JPN,1970,43.45605
Japan,JPN,1980,702.16
Japan,JPN,1990,1573.1027
Japan,JPN,2000,2516.6423
Japan,JPN,2010,2282.1047
Japan,JPN,2022,417.6627
South Korea,KOR,1965,0.0
South Korea,KOR,1970,0.0
South Korea,KOR,1980,91.09532
South Korea,KOR,1990,1198.697
South Korea,KOR,2000,2212.5051
South Korea,KOR,2010,2906.8054
South Korea,KOR,2022,3253.4475
Sweden,SWE,1965,2.3208563
Sweden,SWE,1970,6.9758453
Sweden,SWE,1980,3186.8096
Sweden,SWE,1990,7975.755
Sweden,SWE,2000,6461.473
Sweden,SWE,2010,6164.114
Sweden,SWE,2022,4872.3384
United States,USA,1965,20.290407
United States,USA,1970,114.57216
United States,USA,1980,1184.6023
United States,USA,1990,2447.6528
United States,USA,2000,2669.596
United States,USA,2010,2593.2341
United States,USA,2022,2280.7068
