Entity,Code,Year,Methane emissions from agriculture
Bhutan,BTN,1990,519999.97
Bhutan,BTN,1995,540000.0
Bhutan,BTN,2000,510000.0
Bhutan,BTN,2005,530000.0
Bhutan,BTN,2010,480000.0
Bhutan,BTN,2015,420000.0
Bhutan,BTN,2020,370000.0
Eswatini,SWZ,1990,710000.0
Eswatini,SWZ,1995,660000.0
Eswatini,SWZ,2000,600000.0
Eswatini,SWZ,2005,620000.0
Eswatini,SWZ,2010,630000.0
Eswatini,SWZ,2015,610000.0
Eswatini,SWZ,2020,610000.0
Iceland,ISL,1990,330000.0
Iceland,ISL,1995,310000.0
Iceland,ISL,2000,310000.0
Iceland,ISL,2005,290000.0
Iceland,ISL,2010,310000.0
Iceland,ISL,2015,320000.0
Iceland,ISL,2020,290000.0
Mali,MLI,1990,8680000.0
Mali,MLI,1995,9160000.0
Mali,MLI,2000,11370000.0
Mali,MLI,2005,13640000.0
Mali,MLI,2010,15820000.0
Mali,MLI,2015,18060000.0
Mali,MLI,2020,22600000.0
Moldova,MDA,1990,2730000.0
Moldova,MDA,1995,2160000.0
Moldova,MDA,2000,1350000.0
Moldova,MDA,2005,1140000.0
Moldova,MDA,2010,860000.0
Moldova,MDA,2015,750000.0
Moldova,MDA,2020,600000.0
World,OWID_WRL,1990,3161630000.0
World,OWID_WRL,1995,3172020000.0
World,OWID_WRL,2000,3179840000.0
World,OWID_WRL,2005,3278050000.0
World,OWID_WRL,2010,3363050000.0
World,OWID_WRL,2015,3433280000.0
World,OWID_WRL,2020,3535190000.0
