Entity,Code,Year,The totalpopulation not using safely managed drinking water services
High-income countries,,2000,86171770.0
High-income countries,,2005,84214150.0
High-income countries,,2010,61610570.0
High-income countries,,2015,57120910.0
High-income countries,,2020,53801644.0
High-income countries,,2022,69782664.0
Low-income countries,,2000,305284300.0
Low-income countries,,2005,346404030.0
Low-income countries,,2010,388285200.0
Low-income countries,,2015,441396500.0
Low-income countries,,2020,484172400.0
Low-income countries,,2022,502440960.0
Lower-middle-income countries,,2000,1262790900.0
Lower-middle-income countries,,2005,1281773000.0
Lower-middle-income countries,,2010,1273872500.0
Lower-middle-income countries,,2015,1226425600.0
Lower-middle-income countries,,2020,1174010600.0
Lower-middle-income countries,,2022,1154863700.0
Upper-middle-income countries,,2000,744037200.0
Upper-middle-income countries,,2005,695616100.0
Upper-middle-income countries,,2010,645682000.0
Upper-middle-income countries,,2015,602907000.0
Upper-middle-income countries,,2020,561129900.0
Upper-middle-income countries,,2022,547419300.0
World,OWID_WRL,2000,2406326000.0
World,OWID_WRL,2005,2380446000.0
World,OWID_WRL,2010,2378898000.0
World,OWID_WRL,2015,2297857800.0
World,OWID_WRL,2020,2175532300.0
World,OWID_WRL,2022,2159040800.0
