Entity,Code,Year,14.5.1 - Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%) - ER_MRN_MPA
Central and Southern Asia (UN),,2000,23.81
Central and Southern Asia (UN),,2005,25.93
Central and Southern Asia (UN),,2010,25.93
Central and Southern Asia (UN),,2015,26.52
Central and Southern Asia (UN),,2020,26.52
Central and Southern Asia (UN),,2022,26.52
Eastern and South-Eastern Asia (UN),,2000,17.72
Eastern and South-Eastern Asia (UN),,2005,19.39
Eastern and South-Eastern Asia (UN),,2010,23.52
Eastern and South-Eastern Asia (UN),,2015,30.75
Eastern and South-Eastern Asia (UN),,2020,33.36
Eastern and South-Eastern Asia (UN),,2022,33.59
Europe (UN),,2000,41.08
Europe (UN),,2005,52.63
Europe (UN),,2010,61.04
Europe (UN),,2015,68.4
Europe (UN),,2020,70.77
Europe (UN),,2022,70.82
Latin America and the Caribbean (UN),,2000,23.51
Latin America and the Caribbean (UN),,2005,30.7
Latin America and the Caribbean (UN),,2010,36.47
Latin America and the Caribbean (UN),,2015,41.64
Latin America and the Caribbean (UN),,2020,43.61
Latin America and the Caribbean (UN),,2022,43.85
Northern Africa (UN),,2000,19.1
Northern Africa (UN),,2005,28.75
Northern Africa (UN),,2010,35.16
Northern Africa (UN),,2015,40.46
Northern Africa (UN),,2020,45.54
Northern Africa (UN),,2022,45.54
Northern America (UN),,2000,27.5
Northern America (UN),,2005,28.74
Northern America (UN),,2010,33.74
Northern America (UN),,2015,34.85
Northern America (UN),,2020,36.82
Northern America (UN),,2022,36.83
Oceania (UN),,2000,23.22
Oceania (UN),,2005,25.69
Oceania (UN),,2010,32.93
Oceania (UN),,2015,37.0
Oceania (UN),,2020,38.75
Oceania (UN),,2022,38.75
Sub-Saharan Africa (UN),,2000,22.46
Sub-Saharan Africa (UN),,2005,25.84
Sub-Saharan Africa (UN),,2010,39.13
Sub-Saharan Africa (UN),,2015,41.81
Sub-Saharan Africa (UN),,2020,48.97
Sub-Saharan Africa (UN),,2022,48.98
World,OWID_WRL,2000,26.23
World,OWID_WRL,2005,31.76
World,OWID_WRL,2010,38.3
World,OWID_WRL,2015,43.16
World,OWID_WRL,2020,45.55
World,OWID_WRL,2022,45.62
