Entity,Code,Year,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol) - Beverage types: Spirits"
Austria,AUT,1960,1.4
Austria,AUT,1970,1.7
Austria,AUT,1980,2.0
Austria,AUT,1990,1.8
Austria,AUT,2000,2.16417
Austria,AUT,2010,1.7
Austria,AUT,2019,1.9
Brazil,BRA,1970,1.88
Brazil,BRA,1980,1.63
Brazil,BRA,1990,1.99
Brazil,BRA,2000,3.62175
Brazil,BRA,2010,2.63
Brazil,BRA,2019,2.0
Cambodia,KHM,1990,0.38
Cambodia,KHM,2000,0.25714
Cambodia,KHM,2010,0.39
Cambodia,KHM,2019,0.41
Ireland,IRL,1970,2.12
Ireland,IRL,1980,2.94
Ireland,IRL,1990,2.33
Ireland,IRL,2000,2.97199
Ireland,IRL,2010,2.17
Ireland,IRL,2019,2.29
Kyrgyzstan,KGZ,1990,3.33
Kyrgyzstan,KGZ,2000,5.00461
Kyrgyzstan,KGZ,2010,5.1
Kyrgyzstan,KGZ,2019,3.35
Russia,RUS,1970,5.16
Russia,RUS,1980,4.21
Russia,RUS,1990,4.68
Russia,RUS,2000,7.309
Russia,RUS,2010,5.41
Russia,RUS,2019,3.16
