Entity,Code,Year,"Death rate per 100,000 people - Cause: Ischaemic heart disease - Sex: Both sexes - Age group: Age-standardized"
Egypt,EGY,2000,281.7784
Egypt,EGY,2005,297.69946
Egypt,EGY,2010,301.2646
Egypt,EGY,2015,321.65164
Egypt,EGY,2019,291.48288
Estonia,EST,2000,263.73456
Estonia,EST,2005,214.43393
Estonia,EST,2010,162.76616
Estonia,EST,2015,110.57946
Estonia,EST,2019,80.54998
Iceland,ISL,2000,104.111916
Iceland,ISL,2005,83.81964
Iceland,ISL,2010,72.07164
Iceland,ISL,2015,62.751858
Iceland,ISL,2019,54.43825
Indonesia,IDN,2000,111.25515
Indonesia,IDN,2005,114.41766
Indonesia,IDN,2010,115.09949
Indonesia,IDN,2015,114.716034
Indonesia,IDN,2019,116.55259
Lebanon,LBN,2000,222.83212
Lebanon,LBN,2005,231.93985
Lebanon,LBN,2010,230.22766
Lebanon,LBN,2015,202.23163
Lebanon,LBN,2019,208.29903
Mozambique,MOZ,2000,110.46024
Mozambique,MOZ,2005,116.77801
Mozambique,MOZ,2010,129.27043
Mozambique,MOZ,2015,127.483215
Mozambique,MOZ,2019,127.76551
Qatar,QAT,2000,534.9724
Qatar,QAT,2005,411.28934
Qatar,QAT,2010,349.60153
Qatar,QAT,2015,267.08966
Qatar,QAT,2019,243.86183
Uruguay,URY,2000,91.727196
Uruguay,URY,2005,80.537094
Uruguay,URY,2010,73.89906
Uruguay,URY,2015,63.479977
Uruguay,URY,2019,59.493202
