Entity,Code,Year,catch_mean_taxa
Forage fish,,1970,0.831894214324448
Forage fish,,1980,0.8062201994965731
Forage fish,,1990,0.880141163955116
Forage fish,,2000,0.862326195119929
Forage fish,,2010,0.765208809578957
Forage fish,,2018,0.5005413918692779
Mackerels,,1970,0.962938915313907
Mackerels,,1980,1.03944886799627
Mackerels,,1990,1.02273759375747
Mackerels,,2000,0.918241823669101
Mackerels,,2010,0.937070420802696
Mackerels,,2018,0.581940357738455
Other marine fish,,1970,0.077548089641359
Other marine fish,,1980,0.42426512824355
Other marine fish,,1990,1.0090812595825
Other marine fish,,2000,1.0534154033098
Other marine fish,,2010,0.6917202366034331
Other marine fish,,2018,0.2584553292443
Shrimps,,1970,0.7787364202088392
Shrimps,,1980,0.3897310337378029
Shrimps,,1990,0.70553285900289
Shrimps,,2000,1.27009646302251
Shrimps,,2010,0.811505229445167
Tuna,,1970,0.7067219908629209
Tuna,,1980,0.8098053216810079
Tuna,,1990,1.17745745722703
Tuna,,2000,1.5038724802165402
Tuna,,2010,1.2972931392039
