Entity,Code,Year,Electricity from coal - TWh
Central African Republic,CAF,2000,0.0
Central African Republic,CAF,2005,0.0
Central African Republic,CAF,2010,0.0
Central African Republic,CAF,2015,0.0
Ghana,GHA,2000,0.0
Ghana,GHA,2005,0.0
Ghana,GHA,2010,0.0
Ghana,GHA,2015,0.0
Hungary,HUN,1990,8.55
Hungary,HUN,1995,9.08
Hungary,HUN,2000,9.59
Hungary,HUN,2005,7.02
Hungary,HUN,2010,6.23
Hungary,HUN,2015,5.79
Hungary,HUN,2022,2.9
Montenegro,MNE,2005,1.0
Montenegro,MNE,2010,1.27
Montenegro,MNE,2015,1.51
Montenegro,MNE,2022,1.55
Trinidad and Tobago,TTO,2000,0.0
Trinidad and Tobago,TTO,2005,0.0
Trinidad and Tobago,TTO,2010,0.0
Trinidad and Tobago,TTO,2015,0.0
Upper-middle-income countries,,1985,623.22614
Upper-middle-income countries,,1990,863.4213
Upper-middle-income countries,,1995,1193.7694
Upper-middle-income countries,,2000,1589.85
Upper-middle-income countries,,2005,2597.27
Upper-middle-income countries,,2010,3935.25
Upper-middle-income countries,,2015,4788.22
Upper-middle-income countries,,2022,6129.2803
