Entity,Code,Year,dom_auton_vdem_owid,dom_auton_vdem_high_owid,dom_auton_vdem_low_owid
Asia,,1789,0.47786957,1.2210435,-0.27508697
Asia,,1850,-0.03707143,0.6266071,-0.69517857
Asia,,1900,-0.6824884,-0.0782093,-1.2597674
Asia,,1950,0.04077551,0.5900204,-0.55091834
Asia,,2000,1.2633333,1.7991667,0.6220833
Asia,,2022,0.85059184,1.4190204,0.2295102
Mozambique,MOZ,1900,-1.23,-0.501,-1.729
Mozambique,MOZ,1950,-1.23,-0.501,-1.729
Mozambique,MOZ,2000,0.925,1.373,0.474
Mozambique,MOZ,2022,0.742,1.131,0.218
Papal States,,1789,1.296,2.143,0.382
Papal States,,1850,1.296,2.155,0.423
Taiwan,TWN,1789,0.92,1.86,0.063
Taiwan,TWN,1850,-0.422,0.538,-1.215
Taiwan,TWN,1900,-1.207,-0.62,-1.683
Taiwan,TWN,1950,0.758,1.301,0.165
Taiwan,TWN,2000,1.773,2.484,1.025
Taiwan,TWN,2022,1.751,2.486,1.05
