Entity,Code,Year,Maternal mortality ratio (per 100 000 live births)
Papua New Guinea,PNG,1985,354.2526
Papua New Guinea,PNG,1990,334.8703
Papua New Guinea,PNG,1995,290.72424
Papua New Guinea,PNG,2000,311.8596
Papua New Guinea,PNG,2005,313.76993
Papua New Guinea,PNG,2010,288.90088
Papua New Guinea,PNG,2015,207.54935
Papua New Guinea,PNG,2020,191.83875
Suriname,SUR,1985,415.49326
Suriname,SUR,1990,372.74902
Suriname,SUR,1995,356.9548
Suriname,SUR,2000,278.23636
Suriname,SUR,2005,190.24295
Suriname,SUR,2010,138.30629
Suriname,SUR,2015,124.59628
Suriname,SUR,2020,96.45954
World,OWID_WRL,1985,441.2785
World,OWID_WRL,1990,376.79068
World,OWID_WRL,1995,378.96045
World,OWID_WRL,2000,339.0162
World,OWID_WRL,2005,296.10324
World,OWID_WRL,2010,253.83421
World,OWID_WRL,2015,226.51848
World,OWID_WRL,2020,223.47856
