Entity,Code,Year,Eggs | 00001783 || Yield | 005410 || kilograms per animal
Argentina,ARG,1961,6.2653
Argentina,ARG,1970,7.5828996
Argentina,ARG,1980,10.743899
Argentina,ARG,1990,12.1375
Argentina,ARG,2000,15.568299
Argentina,ARG,2010,14.578899
Argentina,ARG,2021,18.6316
United States,USA,1961,12.4612
United States,USA,1970,12.9534
United States,USA,1980,14.341399
United States,USA,1990,14.888599
United States,USA,2000,15.246099
United States,USA,2010,15.9207
United States,USA,2021,17.077
World,OWID_WRL,1961,7.7511997
World,OWID_WRL,1970,8.0369
World,OWID_WRL,1980,9.1216
World,OWID_WRL,1990,10.1733
World,OWID_WRL,2000,10.856899
World,OWID_WRL,2010,10.389999
World,OWID_WRL,2021,11.104199
