Entity,Code,Year,Renewable internal freshwater resources per capita (cubic meters)
Bahrain,BHR,1961,23.9564
Bahrain,BHR,1970,17.973085
Bahrain,BHR,1980,11.031591
Bahrain,BHR,1990,7.7306933
Bahrain,BHR,2000,5.622384
Bahrain,BHR,2010,3.2958567
Bahrain,BHR,2019,2.6770394
Finland,FIN,1961,23985.627
Finland,FIN,1970,23229.021
Finland,FIN,1980,22387.115
Finland,FIN,1990,21458.232
Finland,FIN,2000,20671.5
Finland,FIN,2010,19950.21
Finland,FIN,2019,19378.42
Kazakhstan,KAZ,2000,4323.543
Kazakhstan,KAZ,2010,3942.5625
Kazakhstan,KAZ,2019,3475.8096
Liberia,LBR,1961,171673.08
Liberia,LBR,1970,136652.81
Liberia,LBR,1980,103510.62
Liberia,LBR,1990,90508.76
Liberia,LBR,2000,69079.28
Liberia,LBR,2010,49751.79
Liberia,LBR,2019,40118.035
Pakistan,PAK,1961,1168.698
Pakistan,PAK,1970,927.6301
Pakistan,PAK,1980,682.1785
Pakistan,PAK,1990,476.545
Pakistan,PAK,2000,356.28702
Pakistan,PAK,2010,282.84253
Pakistan,PAK,2019,246.31284
Peru,PER,1961,156612.42
Peru,PER,1970,120996.54
Peru,PER,1980,93812.14
Peru,PER,1990,74222.836
Peru,PER,2000,61565.73
Peru,PER,2010,56141.773
Peru,PER,2019,49992.594
Suriname,SUR,1961,356154.8
Suriname,SUR,1970,260582.55
Suriname,SUR,1980,263921.2
Suriname,SUR,1990,239851.14
Suriname,SUR,2000,206681.45
Suriname,SUR,2010,181292.12
Suriname,SUR,2019,164917.27
