Entity,Code,Year,Gas (% equivalent primary energy)
Luxembourg,LUX,1965,0.0
Luxembourg,LUX,1970,0.15299636
Luxembourg,LUX,1980,11.421566
Luxembourg,LUX,1990,13.408637
Luxembourg,LUX,2000,20.986212
Luxembourg,LUX,2010,27.768332
Luxembourg,LUX,2022,15.66921
North Macedonia,MKD,2000,1.8623745
North Macedonia,MKD,2010,3.2463205
North Macedonia,MKD,2022,9.1395445
Slovakia,SVK,1965,2.7942772
Slovakia,SVK,1970,8.556552
Slovakia,SVK,1980,12.304549
Slovakia,SVK,1990,23.826094
Slovakia,SVK,2000,30.781492
Slovakia,SVK,2010,28.333225
Slovakia,SVK,2022,26.899824
