Entity,Code,Year,"Deaths that are from drug use disorders per 100,000 people, in both sexes aged 15-49 years"
Canada,CAN,1990,2.3466947
Canada,CAN,1995,3.4992115
Canada,CAN,2000,4.4605064
Canada,CAN,2005,5.1910214
Canada,CAN,2010,5.9827595
Canada,CAN,2015,8.395111
Canada,CAN,2019,10.557769
France,FRA,1990,1.0128874
France,FRA,1995,1.3869703
France,FRA,2000,1.4024218
France,FRA,2005,1.6716932
France,FRA,2010,2.0477154
France,FRA,2015,1.9090897
France,FRA,2019,1.9881556
Germany,DEU,1990,2.4905314
Germany,DEU,1995,3.3197262
Germany,DEU,2000,3.2760973
Germany,DEU,2005,2.749795
Germany,DEU,2010,2.7958536
Germany,DEU,2015,2.9849665
Germany,DEU,2019,3.4239864
Italy,ITA,1990,2.9158792
Italy,ITA,1995,3.5258749
Italy,ITA,2000,2.8588104
Italy,ITA,2005,1.8235959
Italy,ITA,2010,1.3142811
Italy,ITA,2015,1.1954921
Italy,ITA,2019,1.4867616
United States,USA,1990,3.715915
United States,USA,1995,5.1048775
United States,USA,2000,8.283182
United States,USA,2005,13.335341
United States,USA,2010,15.349286
United States,USA,2015,23.394936
United States,USA,2019,31.417751
