Entity,Code,Year,Deaths - Interpersonal violence - Sex: Both - Age: All Ages (Rate)
Ethiopia,ETH,1990,10.77
Ethiopia,ETH,1995,12.3
Ethiopia,ETH,2000,9.99
Ethiopia,ETH,2005,8.42
Ethiopia,ETH,2010,7.41
Ethiopia,ETH,2015,6.78
Ethiopia,ETH,2019,6.67
Malawi,MWI,1990,1.7
Malawi,MWI,1995,2.03
Malawi,MWI,2000,2.43
Malawi,MWI,2005,3.08
Malawi,MWI,2010,2.73
Malawi,MWI,2015,2.1
Malawi,MWI,2019,1.8
Slovakia,SVK,1990,3.36
Slovakia,SVK,1995,3.09
Slovakia,SVK,2000,3.31
Slovakia,SVK,2005,3.34
Slovakia,SVK,2010,2.7
Slovakia,SVK,2015,2.34
Slovakia,SVK,2019,2.17
Sweden,SWE,1990,1.68
Sweden,SWE,1995,1.51
Sweden,SWE,2000,1.42
Sweden,SWE,2005,1.37
Sweden,SWE,2010,1.3
Sweden,SWE,2015,1.33
Sweden,SWE,2019,1.17
Tonga,TON,1990,6.7
Tonga,TON,1995,5.57
Tonga,TON,2000,2.06
Tonga,TON,2005,1.41
Tonga,TON,2010,1.46
Tonga,TON,2015,1.47
Tonga,TON,2019,1.47
