Entity,Code,Year,Period life expectancy (with projections) - Sex: all - Age: 15
Brazil,BRA,1950,63.5504
Brazil,BRA,2000,72.756805
Brazil,BRA,2022,74.6
Brazil,BRA,2050,81.8
Brazil,BRA,2100,88.4
China,CHN,1950,58.3932
China,CHN,2000,75.1929
China,CHN,2022,79.3
China,CHN,2050,84.1
China,CHN,2100,90.4
Italy,ITA,1900,61.31
Italy,ITA,1950,72.007
Italy,ITA,2000,80.1268
Italy,ITA,2022,84.3
Italy,ITA,2050,87.8
Italy,ITA,2100,93.6
Sweden,SWE,1751,58.42
Sweden,SWE,1800,56.02
Sweden,SWE,1850,59.85
Sweden,SWE,1900,64.15
Sweden,SWE,1950,73.331
Sweden,SWE,2000,80.1323
Sweden,SWE,2022,83.7
Sweden,SWE,2050,87.2
Sweden,SWE,2100,92.8
United Kingdom,GBR,1950,71.4963
United Kingdom,GBR,2000,78.4394
United Kingdom,GBR,2022,82.5
United Kingdom,GBR,2050,86.1
United Kingdom,GBR,2100,91.8
