Entity,Code,Year,Schizophrenia disorders (share of population) - Sex: Male - Age: Age-standardized,Schizophrenia disorders (share of population) - Sex: Female - Age: Age-standardized,Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Asia,,2019,,,4627738749.0,
Australia,AUS,2019,0.4419643,0.33531436,25357168.0,
China,CHN,2019,0.3179739,0.3017447,1421864064.0,
Democratic Republic of Congo,COD,2019,0.21146123,0.19722772,89906896.0,
Egypt,EGY,2019,0.2575636,0.23687656,105618672.0,
Europe,,2019,,,747418251.0,
European Union (27),,2019,0.28166807,0.2701721,445027038.0,
Finland,FIN,2019,0.26324674,0.26430115,5521539.0,
Germany,DEU,2019,0.24536958,0.27975205,83148144.0,
Greenland,GRL,2019,0.38760233,0.36263818,55955.0,
High-income countries,,2019,0.33580798,0.3172268,1214846354.0,
India,IND,2019,0.31915304,0.24998066,1383112064.0,
Ireland,IRL,2019,0.3547893,0.3504983,4896021.0,
Low-income countries,,2019,0.22641842,0.20684198,661633048.0,
Netherlands,NLD,2019,0.37173665,0.363436,17363260.0,
North America,,2019,,,590497015.0,
North Korea,PRK,2019,0.2806244,0.24138612,25755442.0,
Oceania,,2019,,,43278474.0,
Romania,ROU,2019,0.2976141,0.2803094,19524212.0,
Somalia,SOM,2019,0.19289002,0.18384777,15981312.0,
South America,,2019,,,428318218.0,
Spain,ESP,2019,0.3023718,0.22864151,47131372.0,
Sudan,SDN,2019,0.24305995,0.22241427,43232092.0,
Sweden,SWE,2019,0.2938598,0.24507377,10267922.0,
Taiwan,TWN,2019,0.3444039,0.28291872,23777742.0,
United States,USA,2019,0.43731943,0.4295285,334319680.0,
World,OWID_WRL,2019,0.302654,0.27195993,7764951040.0,
