Entity,Code,Year,"Deaths that are from all causes attributed to unsafe water source, in both sexes aged all ages"
East Asia & Pacific (WB),,1990,275996.66
East Asia & Pacific (WB),,1995,205740.9
East Asia & Pacific (WB),,2000,151700.36
East Asia & Pacific (WB),,2005,117125.35
East Asia & Pacific (WB),,2010,94793.27
East Asia & Pacific (WB),,2015,81825.51
East Asia & Pacific (WB),,2019,74574.14
Europe & Central Asia (WB),,1990,13647.104
Europe & Central Asia (WB),,1995,11701.243
Europe & Central Asia (WB),,2000,7633.3345
Europe & Central Asia (WB),,2005,3923.875
Europe & Central Asia (WB),,2010,2930.003
Europe & Central Asia (WB),,2015,2583.3633
Europe & Central Asia (WB),,2019,2247.5945
Latin America & Caribbean (WB),,1990,94377.51
Latin America & Caribbean (WB),,1995,64014.855
Latin America & Caribbean (WB),,2000,40210.61
Latin America & Caribbean (WB),,2005,29329.924
Latin America & Caribbean (WB),,2010,22790.025
Latin America & Caribbean (WB),,2015,18996.807
Latin America & Caribbean (WB),,2019,17749.389
Middle East & North Africa (WB),,1990,63313.996
Middle East & North Africa (WB),,1995,45454.188
Middle East & North Africa (WB),,2000,35400.188
Middle East & North Africa (WB),,2005,26365.625
Middle East & North Africa (WB),,2010,20363.037
Middle East & North Africa (WB),,2015,14054.437
Middle East & North Africa (WB),,2019,11554.892
North America (WB),,1990,92.42566
North America (WB),,1995,147.1276
North America (WB),,2000,399.43243
North America (WB),,2005,515.65894
North America (WB),,2010,473.76276
North America (WB),,2015,451.9956
North America (WB),,2019,441.31848
South Asia (WB),,1990,1156403.9
South Asia (WB),,1995,1066225.6
South Asia (WB),,2000,980645.6
South Asia (WB),,2005,849970.75
South Asia (WB),,2010,780337.0
South Asia (WB),,2015,663021.06
South Asia (WB),,2019,611191.3
Sub-Saharan Africa (WB),,1990,837047.56
Sub-Saharan Africa (WB),,1995,858812.8
Sub-Saharan Africa (WB),,2000,832944.8
Sub-Saharan Africa (WB),,2005,739670.7
Sub-Saharan Africa (WB),,2010,669910.0
Sub-Saharan Africa (WB),,2015,581504.56
Sub-Saharan Africa (WB),,2019,511853.8
