Entity,Code,Year,Gas (% growth)
Estonia,EST,1986,-9.115529
Estonia,EST,1990,27.831184
Estonia,EST,1995,14.034426
Estonia,EST,2000,14.95707
Estonia,EST,2005,3.2443404
Estonia,EST,2010,7.1185827
Estonia,EST,2015,-10.354364
Estonia,EST,2020,-7.7255607
Estonia,EST,2022,-25.536377
Kazakhstan,KAZ,1986,21.081078
Kazakhstan,KAZ,1990,6.5873027
Kazakhstan,KAZ,1995,14.851486
Kazakhstan,KAZ,2000,-42.663235
Kazakhstan,KAZ,2005,15.729153
Kazakhstan,KAZ,2010,8.196807
Kazakhstan,KAZ,2015,-6.9250164
Kazakhstan,KAZ,2020,-10.3935
Kazakhstan,KAZ,2022,0.4495144
North Macedonia,MKD,2000,62.162163
North Macedonia,MKD,2005,6.9138885
North Macedonia,MKD,2010,48.120453
North Macedonia,MKD,2015,0.73156357
North Macedonia,MKD,2020,14.465916
North Macedonia,MKD,2022,-35.46856
