Entity,Code,Year,Number of homicides - Male - All ages
Brazil,BRA,1990,26930.646
Brazil,BRA,1995,30950.94
Brazil,BRA,2000,41600.0
Brazil,BRA,2005,43678.0
Brazil,BRA,2010,47777.0
Brazil,BRA,2015,53467.0
Colombia,COL,1990,22494.596
Colombia,COL,1995,20666.182
Colombia,COL,2000,24614.934
Colombia,COL,2005,16619.0
Colombia,COL,2010,14233.0
Colombia,COL,2015,11715.0
Colombia,COL,2021,13089.0
India,IND,2000,32971.28
India,IND,2005,29827.0
India,IND,2010,28589.0
India,IND,2015,27284.0
India,IND,2021,24317.625
Mexico,MEX,1990,12969.585
Mexico,MEX,1995,14085.044
Mexico,MEX,2000,9451.684
Mexico,MEX,2005,8622.167
Mexico,MEX,2010,23285.0
Mexico,MEX,2015,18293.0
Mexico,MEX,2021,31263.0
Russia,RUS,1990,16038.0
Russia,RUS,1995,34480.0
Russia,RUS,2000,30753.0
Russia,RUS,2005,26787.0
Russia,RUS,2010,12332.0
Russia,RUS,2015,12363.0
Russia,RUS,2021,7279.0
Venezuela,VEN,1990,2286.989
Venezuela,VEN,2000,7501.892
Venezuela,VEN,2005,9407.535
Venezuela,VEN,2010,12290.864
Venezuela,VEN,2015,14606.0
